window_size_s,fixed_mean_iou,fixed_matched,fixed_total_preds,vad_mean_iou,vad_matched,vad_total_preds,delta_iou_percentage_points
0.3,0.28590634191257147,1421,35753,0.2829671534920247,1418,35336,-0.29391884205467456
0.4,0.26164243317764446,1285,22325,0.2590675893034938,1283,22010,-0.25748438741506896
0.5,0.2290797016005399,1379,18573,0.22818278802864056,1378,18446,-0.08969135718993326
0.6,0.21314831478956628,1452,15939,0.2121757837163703,1448,15844,-0.09725310731959758
0.7,0.19410587863185516,1462,13857,0.19374268728460245,1459,13781,-0.03631913472527115
0.8,0.18578840680484493,1402,12324,0.18576363212106758,1400,12289,-0.0024774683777345485
0.9,0.17370950816837058,1387,10984,0.17331120017442467,1385,10935,-0.03983079939459122
1.0,0.1629462472123799,1362,9950,0.16289631850669756,1362,9925,-0.004992870568235053
1.1,0.1565409243989746,1295,9061,0.15610099726107377,1295,9039,-0.043992713790083626
1.2,0.14764234909563964,1260,8519,0.14757142309034865,1260,8497,-0.00709260052909888
1.3,0.14116303240058403,1186,7937,0.14106117897665474,1186,7921,-0.010185342392929342
1.4,0.13696519823732511,1228,7529,0.13667617762607967,1227,7507,-0.02890206112454441
1.5,0.13430361628865603,1214,6886,0.1340743297209195,1212,6870,-0.022928656773651968
1.6,0.12974005427311777,1219,6605,0.12968657871714626,1219,6597,-0.00534755559715161
1.7,0.12717915875460076,1143,6243,0.12717915875460076,1143,6235,0.0
1.8,0.12457852029869158,1143,6038,0.12451255020471022,1143,6030,-0.006597009398136289
1.9,0.12233669548775183,1096,5692,0.12223955801301115,1096,5682,-0.009713747474068835
2.0,0.11829504013892424,1074,5510,0.11823375770943793,1074,5496,-0.006128242948630347
