window_size_s,file_path,label,orig_start,orig_end,gt_start,gt_end,orig_iou,vad_start,vad_end,vad_iou,delta_pp
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,20.125,20.55,20.333268,20.429073,0.225423529411761,20.125,20.55,0.225423529411761,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,23.375,23.8,23.588952,23.693493,0.24597882352941394,23.375,23.8,0.24597882352941394,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,26.25,26.55,26.331104,26.430791,0.33228999999999725,26.25,26.55,0.33228999999999725,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,73.625,73.925,73.734201,73.795267,0.20355333333332437,73.625,73.925,0.20355333333332437,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,99.0,99.425,99.263753,99.323238,0.13996470588237583,99.06,99.425,0.1629726027397539,2.3007896857378056
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,391.25,391.675,391.415775,391.554751,0.3270023529412001,391.37399999999997,391.675,0.46171428571426304,13.471193277306293
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,547.5,547.925,547.720982,547.806659,0.20159294117630094,547.592,547.925,0.25728828828806743,5.569534711176649
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,557.25,557.8,557.46316,557.522838,0.10850545454539551,557.25,557.8,0.10850545454539551,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,558.375,558.675,558.508045,558.549002,0.13652333333313688,558.375,558.675,0.13652333333313688,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,563.625,563.925,563.630125,563.687762,0.1921233333333615,563.625,563.925,0.1921233333333615,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,812.875,813.8,813.065642,813.212459,0.15872108108102598,813.031,813.8,0.1909193758126668,3.219829473164082
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,824.5,825.05,824.641056,824.729441,0.16069999999983675,824.592,825.05,0.1929803493447788,3.228034934494206
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,969.5,969.925,969.668184,969.732764,0.15195294117643532,969.5,969.925,0.15195294117643532,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,973.5,973.8,973.585812,973.751065,0.55084333333344,973.5,973.8,0.55084333333344,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,1001.125,1001.55,1001.347021,1001.405699,0.13806588235292358,1001.313,1001.55,0.24758649789027246,10.952061553734888
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,1080.625,1082.3,1081.315316,1081.453505,0.08250089552239699,1081.2930000000001,1082.3,0.13722840119169208,5.472750566929509
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,กู,1105.625,1105.925,1105.728802,1105.802298,0.24498666666662833,1105.625,1105.925,0.24498666666662833,0.0
0.3,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\internet\clear\Horror movie for WOKE!!!!!.wav,มึง,22.5,22.925,22.757007,22.836244,0.1864399999999976,22.5,22.925,0.1864399999999976,0.0
