Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
iou,0.3,0.25,0.25,0.0463,0.082,0.0237,0.9667,,,0.0556,0.0205,27.96
iou_word_sep,0.3,0.25,0.25,0.0463,0.082,0.0237,0.9667,,,0.0556,0.0215,
window,0.3,0.25,0.25,0.0463,0.082,0.0237,0.9667,0.4256,0.4817,,,
word,0.3,0.25,0.25,0.0463,0.082,0.0237,0.9667,,,0.0556,,
iou,0.3,0.125,0.125,0.0462,0.0813,0.0236,0.9645,,,0.0512,0.0187,37.09
window,0.3,0.125,0.125,0.0462,0.0813,0.0236,0.9645,0.4247,0.477,,,
word,0.3,0.125,0.125,0.0462,0.0813,0.0236,0.9645,,,0.0512,,
iou,0.3,0.2,0.2,0.046,0.0823,0.0236,0.9696,,,0.0513,0.0207,33.77
iou,0.3,40.0%,0.4,0.046,0.0813,0.0236,0.9627,,,0.048,0.019,38.46
iou,0.3,80.0%,0.8,0.046,0.0833,0.0236,0.9596,,,0.0543,0.0242,31.09
iou_word_sep,0.3,0.2,0.2,0.046,0.0823,0.0236,0.9696,,,0.0513,0.0209,
iou_word_sep,0.3,40.0%,0.4,0.046,0.0813,0.0236,0.9627,,,0.048,0.0208,
iou_word_sep,0.3,80.0%,0.8,0.046,0.0833,0.0236,0.9596,,,0.0543,0.0248,
window,0.3,0.2,0.2,0.046,0.0823,0.0236,0.9696,0.4468,0.4945,,,
window,0.3,40.0%,0.4,0.046,0.0813,0.0236,0.9627,0.4433,0.4928,,,
window,0.3,80.0%,0.8,0.046,0.0833,0.0236,0.9596,0.4258,0.4789,,,
word,0.3,0.2,0.2,0.046,0.0823,0.0236,0.9696,,,0.0513,,
word,0.3,40.0%,0.4,0.046,0.0813,0.0236,0.9627,,,0.048,,
word,0.3,80.0%,0.8,0.046,0.0833,0.0236,0.9596,,,0.0543,,
iou,0.3,0.15,0.15,0.0458,0.0828,0.0235,0.9625,,,0.0451,0.02,36.49
iou,0.3,50.0%,0.5,0.0458,0.0828,0.0235,0.9625,,,0.0451,0.02,36.49
iou_word_sep,0.3,0.15,0.15,0.0458,0.0828,0.0235,0.9625,,,0.0451,0.0193,
iou_word_sep,0.3,50.0%,0.5,0.0458,0.0828,0.0235,0.9625,,,0.0451,0.0193,
window,0.3,0.15,0.15,0.0458,0.0828,0.0235,0.9625,0.4359,0.4875,,,
window,0.3,50.0%,0.5,0.0458,0.0828,0.0235,0.9625,0.4359,0.4875,,,
word,0.3,0.15,0.15,0.0458,0.0828,0.0235,0.9625,,,0.0451,,
word,0.3,50.0%,0.5,0.0458,0.0828,0.0235,0.9625,,,0.0451,,
iou,0.3,10.0%,0.1,0.0457,0.082,0.0234,0.9621,,,0.0409,0.0124,67.33
iou_word_sep,0.3,10.0%,0.1,0.0457,0.082,0.0234,0.9621,,,0.0409,0.0167,
window,0.3,10.0%,0.1,0.0457,0.082,0.0234,0.9621,0.4338,0.4853,,,
word,0.3,10.0%,0.1,0.0457,0.082,0.0234,0.9621,,,0.0409,,
iou,0.3,0.3,0.3,0.0456,0.0813,0.0233,0.9572,,,0.0395,0.0205,24.54
iou,0.3,100.0%,1.0,0.0456,0.0813,0.0233,0.9572,,,0.0395,0.0205,24.54
iou_word_sep,0.3,0.3,0.3,0.0456,0.0813,0.0233,0.9572,,,0.0395,0.0205,
iou_word_sep,0.3,100.0%,1.0,0.0456,0.0813,0.0233,0.9572,,,0.0395,0.0205,
window,0.3,0.3,0.3,0.0456,0.0813,0.0233,0.9572,0.4205,0.4749,,,
window,0.3,100.0%,1.0,0.0456,0.0813,0.0233,0.9572,0.4205,0.4749,,,
word,0.3,0.3,0.3,0.0456,0.0813,0.0233,0.9572,,,0.0395,,
word,0.3,100.0%,1.0,0.0456,0.0813,0.0233,0.9572,,,0.0395,,
iou,0.3,20.0%,0.2,0.0455,0.0815,0.0233,0.9586,,,0.0424,0.0166,50.41
iou_word_sep,0.3,20.0%,0.2,0.0455,0.0815,0.0233,0.9586,,,0.0424,0.0182,
window,0.3,20.0%,0.2,0.0455,0.0815,0.0233,0.9586,0.4345,0.4865,,,
word,0.3,20.0%,0.2,0.0455,0.0815,0.0233,0.9586,,,0.0424,,
iou,0.3,30.0%,0.3,0.0454,0.082,0.0233,0.9557,,,0.0482,0.0175,42.82
iou_word_sep,0.3,30.0%,0.3,0.0454,0.082,0.0233,0.9557,,,0.0482,0.0195,
window,0.3,30.0%,0.3,0.0454,0.082,0.0233,0.9557,0.4309,0.4836,,,
word,0.3,30.0%,0.3,0.0454,0.082,0.0233,0.9557,,,0.0482,,
iou,0.3,70.0%,0.7,0.0453,0.0821,0.0232,0.9513,,,0.0495,0.0196,31.68
iou_word_sep,0.3,70.0%,0.7,0.0453,0.0821,0.0232,0.9513,,,0.0495,0.0198,
window,0.3,70.0%,0.7,0.0453,0.0821,0.0232,0.9513,0.4332,0.4902,,,
word,0.3,70.0%,0.7,0.0453,0.0821,0.0232,0.9513,,,0.0495,,
iou,0.3,60.0%,0.6,0.0448,0.0817,0.0229,0.9481,,,0.0483,0.0173,33.06
iou_word_sep,0.3,60.0%,0.6,0.0448,0.0817,0.0229,0.9481,,,0.0483,0.018,
window,0.3,60.0%,0.6,0.0448,0.0817,0.0229,0.9481,0.4127,0.4684,,,
word,0.3,60.0%,0.6,0.0448,0.0817,0.0229,0.9481,,,0.0483,,
iou,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,,,0.0579,0.0213,26.62
iou_word_sep,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,,,0.0579,0.0211,
window,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,0.4349,0.4859,,,
word,0.3,90.0%,0.9,0.0446,0.0816,0.0229,0.9442,,,0.0579,,
iou,0.4,70.0%,0.7,0.0625,0.1182,0.0323,0.9362,,,0.064,0.0289,33.21
iou_word_sep,0.4,70.0%,0.7,0.0625,0.1182,0.0323,0.9362,,,0.064,0.0294,
