Window_Size_seconds,Total_Configurations_Tested,BEST_Binary_F1_Score,Binary_Evaluation_Method,Binary_Best_Stride,Binary_Stride_Numeric,Binary_Accuracy,Binary_Precision,Binary_Recall,BEST_Multiclass_F1_Score,Multiclass_Evaluation_Method,Multiclass_Best_Stride,Multiclass_Accuracy
0.3,59,0.0463,IOU,0.25,0.25,0.082,0.0237,0.9667,0.4468,WINDOW,0.2,0.4945
0.4,56,0.0625,IOU,70.0%,0.7,0.1182,0.0323,0.9362,0.4395,WINDOW,0.35,0.5012
0.5,64,0.0766,IOU,0.4,0.4,0.1689,0.04,0.9154,0.436,WINDOW,0.35,0.5032
0.6,68,0.0919,IOU,0.4,0.4,0.2047,0.0485,0.8899,0.4452,WINDOW,0.35,0.5158
0.7,72,0.1056,IOU,80.0%,0.8,0.2354,0.0562,0.8643,0.4626,WINDOW,0.7,0.5364
0.8,76,0.1201,IOU,70.0%,0.7,0.2698,0.0646,0.8532,0.4295,WINDOW,80.0%,0.5121
0.9,80,0.1322,IOU,0.9,0.9,0.2895,0.0719,0.824,0.4079,WINDOW,40.0%,0.493
1.0,84,0.1408,IOU,1.0,1.0,0.2987,0.0772,0.7944,0.4173,WINDOW,0.95,0.5176
1.1,88,0.1524,IOU,0.85,0.85,0.3274,0.0843,0.7914,0.4216,WINDOW,1.05,0.4964
1.2,92,0.1619,IOU,1.05,1.05,0.3363,0.0905,0.7692,0.4135,WINDOW,1.05,0.4967
1.3,96,0.1704,IOU,80.0%,0.8,0.3359,0.096,0.7576,0.4073,WINDOW,1.05,0.4816
1.4,100,0.1775,IOU,70.0%,0.7,0.3465,0.1007,0.7463,0.3899,WINDOW,0.95,0.4731
1.5,104,0.1879,IOU,1.2,1.2,0.3498,0.1077,0.7386,0.3856,WINDOW,1.35,0.4843
1.6,108,0.1945,IOU,1.3,1.3,0.3474,0.1122,0.7304,0.3754,WINDOW,1.45,0.4582
1.7,112,0.2081,IOU,1.45,1.45,0.3692,0.1214,0.7261,0.3524,WINDOW,1.35,0.4425
1.8,116,0.2117,IOU,1.75,1.75,0.3746,0.1243,0.713,0.3373,WINDOW,1.15,0.4382
1.9,120,0.2236,IOU,1.25,1.25,0.3708,0.1321,0.7265,0.33,WINDOW,1.85,0.4254
2.0,124,0.2333,IOU,1.7,1.7,0.3756,0.1382,0.7493,0.3257,WINDOW,1.6,0.4419
