Window,Stride,Class,Precision,Recall,F1,Support,Correct_Predictions,Total_Predictions
0.3s,0.15s,เย็ด,0.4,73.1,0.8,26,19,4987
0.3s,0.15s,กู,2.8000000000000003,93.0,5.4,157,146,5274
0.3s,0.15s,มึง,3.0,38.5,5.6000000000000005,117,45,1490
0.3s,0.15s,เหี้ย,6.1,71.8,11.3,78,56,914
0.3s,0.25s,เย็ด,0.4,57.699999999999996,0.8,26,15,3549
0.3s,0.25s,กู,3.1,77.10000000000001,6.0,157,121,3855
0.3s,0.25s,มึง,3.5999999999999996,29.9,6.5,117,35,965
0.3s,0.25s,เหี้ย,6.1,51.300000000000004,11.0,78,40,652
0.3s,0.2s,เย็ด,0.4,65.4,0.8,26,17,4003
0.3s,0.2s,กู,3.0,82.19999999999999,5.800000000000001,157,129,4279
0.3s,0.2s,มึง,3.1,31.6,5.7,117,37,1183
0.3s,0.2s,เหี้ย,6.3,64.1,11.5,78,50,789
0.3s,0.3s,เย็ด,0.5,53.800000000000004,0.8999999999999999,26,14,3056
0.3s,0.3s,กู,3.3000000000000003,70.1,6.3,157,110,3362
0.3s,0.3s,มึง,3.2,23.1,5.6000000000000005,117,27,840
0.3s,0.3s,เหี้ย,7.000000000000001,52.6,12.4,78,41,582
0.4s,0.25s,เย็ด,0.5,61.5,1.0,26,16,3120
0.4s,0.25s,กู,3.6999999999999997,79.60000000000001,7.1,157,125,3354
0.4s,0.25s,มึง,3.8,29.9,6.800000000000001,117,35,912
0.4s,0.25s,เหี้ย,6.6000000000000005,51.300000000000004,11.700000000000001,78,40,608
0.4s,0.2s,เย็ด,0.5,69.19999999999999,1.0,26,18,3654
0.4s,0.2s,กู,3.4000000000000004,86.6,6.6000000000000005,157,136,3965
0.4s,0.2s,มึง,3.5000000000000004,33.300000000000004,6.4,117,39,1111
0.4s,0.2s,เหี้ย,6.3,56.39999999999999,11.4,78,44,693
0.4s,0.35s,เย็ด,0.6,57.699999999999996,1.2,26,15,2503
0.4s,0.35s,กู,4.1000000000000005,75.8,7.7,157,119,2914
0.4s,0.35s,มึง,3.8,23.9,6.6000000000000005,117,28,729
0.4s,0.35s,เหี้ย,7.3,46.2,12.7,78,36,490
0.4s,0.3s,เย็ด,0.4,46.2,0.8,26,12,2872
0.4s,0.3s,กู,3.6999999999999997,76.4,7.000000000000001,157,120,3283
0.4s,0.3s,มึง,4.7,32.5,8.200000000000001,117,38,812
0.4s,0.3s,เหี้ย,7.3,51.300000000000004,12.8,78,40,547
0.4s,0.4s,เย็ด,0.6,50.0,1.0999999999999999,26,13,2271
0.4s,0.4s,กู,4.1000000000000005,68.8,7.8,157,108,2630
0.4s,0.4s,มึง,3.5000000000000004,18.8,5.800000000000001,117,22,636
