file_path,start_time,end_time,label
./main\Janพูดถึงอาท.wav,16.214891,16.685348,เหี้ย
./main\กายหีควยแตด.wav,13.437086,13.552074,ควย
./main\แทนเบลล์ขโมยปลาบู่.wav,26.911577,27.122632,หี
./main\หมากัด.wav,13.635129,13.899931,ควย
./main\กาลครั้งมีไอ้สวะตัวหนึ่ง.wav,3.43895,7.251913,none
./main\กายหีควยแตด.wav,1.043558,1.438928,หี
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,98.007841,98.262557,เหี้ย
./main\มิ้นท์แทนนินทาไอ้เบลล์ซื้อไก่.wav,48.282503,52.311717,none
./main\แทนเบลล์ขโมยปลาบู่.wav,22.723715,23.231712,none
./main\กายหีควยแตด.wav,1.043558,1.438928,หี
./main\มิ้นท์แทนนินทาไอ้เบลล์ซื้อไก่.wav,26.418938,26.515687,ควย
./main\คนดีห้ามเพื่อน.wav,10.146061,10.234402,เย็ด
./main\ด้วยสัตย์สาบานแห่งพระแม่กิ้งก่า กูขอสาบานว่า.wav,0.0,3.635968,none
./main\Janพูดถึงอาท.wav,45.249701,57.804852,none
./main\เย็ดแม่ นี่คือเหตุผลที่กูไม่อยากคุยกับมึง.wav,1.425392,1.509833,กู
./main\แทนเบลล์ขโมยปลาบู่.wav,18.239157,18.411491,แตด
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,32.157394,32.262599,กู
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,79.591916,79.735205,มึง
./main\คอมโครตดี.wav,1.566463,2.445045,none
./main\กิตหีควยแตด.wav,9.298619,9.431618,แตด
./main\เหี้ย (อาร์ต).wav,2.779711,3.218578,เหี้ย
./main\กิตหีควยแตด.wav,10.756391,11.181465,หี
./main\บารมีมารดา.wav,10.254282,10.533604,แตด
./main\เลสเบี้ยน.wav,10.270727,10.48412,หี
./main\มิ้นท์แทนนินทาไอ้เบลล์ซื้อไก่.wav,64.548003,64.794619,หี
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,22.715939,22.845551,แตด
./main\เย็ดแม่ในร้านเกม.wav,33.789018,33.855587,กู
./main\หีหอมพ่อง.wav,4.262649,4.386466,หี
./main\เย็ด (อาร์ต).wav,5.047521,5.165454,เย็ด
./main\แทนเบลล์ขโมยปลาบู่.wav,35.109056,35.322191,แตด
./main\แทนเบลล์ขโมยปลาบู่.wav,54.94193,55.009411,กู
./main\แตด (มูเซอร์).wav,0.51268,0.956112,แตด
./main\สวะ (อาร์ต).wav,6.961679,7.2815,สวะ
./main\มิ้นท์แทนนินทาไอ้เบลล์ซื้อไก่.wav,73.745343,74.04709,สวะ
./main\คอมโครตดี.wav,27.791607,28.196133,สวะ
./main\สวะ (อาร์ต).wav,12.551394,12.811991,สวะ
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,86.122236,86.532103,ควย
./main\พิ้งค์ด่าหนัง.wav,21.343275,21.591013,มึง
./main\พิ้งค์ด่าหนัง.wav,5.814375,6.041885,สวะ
./main\อาทโดนFBI.wav,3.43084,3.786339,สวะ
./main\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้.wav,1.570156,1.723893,มึง
./main\คนดีห้ามเพื่อน.wav,13.425949,14.540494,none
./main\โอ๊ย เย็ดแม่ เจ็บชิบหาย.wav,0.989133,2.621888,none
./main\แตด (มูเซอร์).wav,0.51268,0.956112,แตด
./main\กายหีควยแตด.wav,38.48699,39.16308,none
./main\กิตหีควยแตด.wav,18.188679,18.353841,none
./main\มิ้นท์แทนนินทาไอ้เบลล์ซื้อไก่.wav,25.661333,25.810806,หี
./main\กาลครั้งมีไอ้สวะตัวหนึ่ง.wav,3.218479,3.43895,สวะ
./main\ไอ้เหี้ยถ้าสวะสังคมอย่างพวกมึงไม่เกิดขึ้นมา.wav,9.457814,9.691281,แตด
./main\เบลล์-ควย.wav,0.921488,1.575247,ควย
./main\หีหอมพ่อง.wav,4.871414,6.357215,none
./main\อารมณ์แบบว่างี้ป้ะ.wav,15.813147,16.028569,เหี้ย
./main\มึง (โบท).wav,0.67555,1.171503,มึง
./main\เย็ดแม่ มึงไม่แคร์อะไรเลยใช่ไหมอ่ะ.wav,0.422101,0.509074,เย็ด
./main\เย็ดแม่ มึงไม่แคร์อะไรเลยใช่ไหมอ่ะ.wav,0.422101,0.509074,เย็ด
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,41.437425,41.604823,มึง
./main\กิตหีควยแตด.wav,4.382877,4.754057,หี
./main\กาลครั้งมีไอ้สวะตัวหนึ่ง.wav,14.852609,15.106637,ควย
./main\เหี้ย (อาร์ต).wav,3.833202,4.192968,เหี้ย
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,44.678827,44.847977,หี
./main\Janพูดถึงอาท.wav,91.770179,91.844683,เย็ด
./main\ป้าๆก๋วยเตี๋ยวถุงนึง.wav,5.663924,6.504191,เหี้ย
./main\ชีสเหม็น.wav,7.831683,7.966568,มึง
./main\มิ้นท์เบลล์ทะเลาะกันหน้าร้านไอ้แทน.wav,124.929571,125.344438,เหี้ย
./main\เอ๊ย เป็นเหี้ยไรวะกูถามจริง.wav,16.541993,16.657708,ควย
./main\กิตหีควยแตด.wav,3.524035,3.758739,none
./main\คนดีห้ามเพื่อน.wav,13.261441,13.425949,กู
./main\คอมโครตดี.wav,2.445045,2.550429,กู
./main\ก็มาดิสะไอ้สัสเป็นเหี้ยไรวะ.wav,9.367063,9.750196,สวะ
./main\กิตหีควยแตด.wav,5.621592,6.074483,none
./main\แทนเบลล์ขโมยปลาบู่.wav,72.133356,72.257687,เย็ด
./main\บัวด่านัท.wav,17.286918,18.130919,none
./main\หมากัด.wav,13.043736,13.279852,หี
./main\เย็ดแม่ นี่ไม่ใช่ครั้งแรกที่มึงทำแบบนี้นะ.wav,0.0,0.067542,เย็ด
./main\ฮือฮืมเป็นวันที่ดี.wav,9.979992,10.145245,ควย
./main\เหี้ย (อาร์ต).wav,4.924185,5.247061,เหี้ย
./main\กายหีควยแตด.wav,11.344457,11.695723,แตด
./main\กู (อาร์ต).wav,7.64491,8.022941,กู
