file_path,start_time,end_time,label,is_augmented,aug_type,original_file
dataset\augmented\เป็นสวะแล้วยังทำนิสัยหีๆอีก_หี_0_nan.wav,0.0,0.1648125,หี,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เป็นสวะแล้วยังทำนิสัยหีๆอีก.wav
dataset\augmented\กล้าดียังไงมาแตะคนรัก_none_1_nan.wav,0.0,1.7299375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กล้าดียังไงมาแตะคนรัก.wav
dataset\augmented\อย่าฟังความข้างเดียวสิ กูน่ะบอกอยู่เสมอแล้วว่ากูเป็นคนดี_กู_2_light.wav,0.0,0.17475,กู,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อย่าฟังความข้างเดียวสิ กูน่ะบอกอยู่เสมอแล้วว่ากูเป็นคนดี.wav
dataset\augmented\กายพูดกูรัวๆ_none_3_nan.wav,0.0,0.1114375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กายพูดกูรัวๆ.wav
dataset\augmented\ป้าๆก๋วยเตี๋ยวถุงนึง_มึง_4_nan.wav,0.0,0.1369375,มึง,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ป้าๆก๋วยเตี๋ยวถุงนึง.wav
dataset\augmented\ค่ายเหี้ย_none_5_nan.wav,0.0,2.1765625,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\ค่ายเหี้ย.wav
dataset\augmented\ไอ้เด็กนี่มันอยากมีปัญหากับกูแล้วสินะ_none_6_nan.wav,0.0,2.255,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เด็กนี่มันอยากมีปัญหากับกูแล้วสินะ.wav
dataset\augmented\เข้ามาเลยไอ้พวกเด็กเปรต กูคนนี้จะลงทัณฑ์เอง_none_7_nan.wav,0.0,2.2800625,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เข้ามาเลยไอ้พวกเด็กเปรต กูคนนี้จะลงทัณฑ์เอง.wav
dataset\augmented\หมากัด_ควย_8_nan.wav,0.0,0.3861875,ควย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\หมากัด.wav
dataset\augmented\รถติดบนทางด่วน_none_9_light_none.wav,0.0,0.942,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\รถติดบนทางด่วน.wav
dataset\augmented\ดูถูกหีไม่มีวันเจริญ_สวะ_10_nan.wav,0.0,0.3165,สวะ,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ดูถูกหีไม่มีวันเจริญ.wav
dataset\augmented\รถติดบนทางด่วน_none_11_nan.wav,0.0,2.3244375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\รถติดบนทางด่วน.wav
dataset\augmented\ขึ้นมาสิไอ้เย็ดแม่ เราจะไปเที่ยวทะเลกัน_none_12_nan.wav,0.0,1.1750625,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ขึ้นมาสิไอ้เย็ดแม่ เราจะไปเที่ยวทะเลกัน.wav
dataset\augmented\สวะ (เปอร์)_สวะ_13_medium.wav,0.0,2.3466875,สวะ,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\สวะ\สวะ (เปอร์).wav
dataset\augmented\ขึ้นมาสิไอ้เย็ดแม่ เราจะไปเที่ยวทะเลกัน_เย็ด_14_nan.wav,0.0,0.128375,เย็ด,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ขึ้นมาสิไอ้เย็ดแม่ เราจะไปเที่ยวทะเลกัน.wav
dataset\augmented\คือมึงไม่ฉลาดหรอวะ_none_15_nan.wav,0.0,0.73625,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\คือมึงไม่ฉลาดหรอวะ.wav
