file_path,start_time,end_time,label
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\เจ็บคอมาสองวันเพราะฝุ่น.wav,0.0,3.345673,none
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ชีสเหม็น.wav,10.753268,11.087004,ควย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อาทโดนFBI.wav,23.808862,33.007445,none
dataset\augmented\กาลครั้งมีไอ้สวะตัวหนึ่ง_สวะ_15_medium.wav,0.0,0.251625,สวะ
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\หมากัด.wav,12.183128,12.569298,ควย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\เย็ด\เย็ด (เปอร์).wav,0.0,2.24,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อารมณ์แบบว่างี้ป้ะ.wav,15.386369,15.592645,แตด
dataset\augmented\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ_มึง_13_light.wav,0.0,0.2444375,มึง
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\แปปนึง มึงใครเนี่ย มึงใคร มึงคือใคร.wav,0.0,2.146813,none
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\Janพูดถึงอาท.wav,80.876913,88.286035,none
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บิวพูดเหี้ย.wav,2.497561,2.922379,เหี้ย
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เย็ดแม่ กูไม่โอเคกับสิ่งที่มึงทำเลยนะ.wav,0.0,0.539579,none
dataset\augmented\กาลครั้งมีไอ้สวะตัวหนึ่ง_สวะ_14_medium.wav,0.0,0.2205,สวะ
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เลสเบี้ยน.wav,6.214393,6.331295,หี
dataset\augmented\อารมณ์แบบว่างี้ป้ะ_หี_24_medium.wav,0.0,0.3251875,หี
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อั้มด่าแหลก.wav,1.340255,1.498397,เย็ด
C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\เจ็บคอมาสองวันเพราะฝุ่น.wav,3.603006,8.701151,none
