eval_type,method,window_size,stride_value,stride_type,output_dir,success,error
eval_by_0.05,word_eval,0.3,0.125,absolute,demo_iou_results\eval_by_0.05\word\window_0.3s\stride_0.125s,True,
eval_by_0.05,word_eval,0.3,0.15,absolute,demo_iou_results\eval_by_0.05\word\window_0.3s\stride_0.15s,True,
eval_by_0.05,word_eval,0.3,0.25,absolute,demo_iou_results\eval_by_0.05\word\window_0.3s\stride_0.25s,True,
eval_by_0.05,word_eval,0.3,0.2,absolute,demo_iou_results\eval_by_0.05\word\window_0.3s\stride_0.2s,True,
eval_by_0.05,word_eval,0.3,0.3,absolute,demo_iou_results\eval_by_0.05\word\window_0.3s\stride_0.3s,True,
eval_by_0.05,word_eval,0.4,0.25,absolute,demo_iou_results\eval_by_0.05\word\window_0.4s\stride_0.25s,True,
eval_by_0.05,word_eval,0.4,0.2,absolute,demo_iou_results\eval_by_0.05\word\window_0.4s\stride_0.2s,True,
eval_by_0.05,word_eval,0.4,0.35,absolute,demo_iou_results\eval_by_0.05\word\window_0.4s\stride_0.35s,True,
eval_by_0.05,word_eval,0.4,0.3,absolute,demo_iou_results\eval_by_0.05\word\window_0.4s\stride_0.3s,True,
eval_by_0.05,word_eval,0.4,0.4,absolute,demo_iou_results\eval_by_0.05\word\window_0.4s\stride_0.4s,True,
