eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou,window_numeric,stride_numeric,stride_percentage
eval_by_0.05,window_0.3s,stride_0.25s,True,846.32639336586,3,0.0744,0.9169,0.2486,0.3,0.25,83.33333333333334
eval_by_0.05,window_0.4s,stride_0.35s,True,598.6871376037598,4,0.1027,0.87,0.1941,0.4,0.35,87.49999999999999
eval_by_0.05,window_0.5s,stride_0.3s,True,628.7499771118164,1,0.1288,0.88,0.1553,0.5,0.3,60.0
eval_by_0.05,window_0.6s,stride_0.4s,True,485.2305192947388,4,0.1564,0.8458,0.137,0.6,0.4,66.66666666666667
eval_percent,window_0.7s,stride_90.0%,True,412.859623670578,4,0.1732,0.7121,0.107,0.7,0.63,90.0
eval_by_0.05,window_0.8s,stride_0.5s,True,457.9011781215668,3,0.1838,0.7379,0.096,0.8,0.5,62.5
eval_by_0.05,window_0.9s,stride_0.5s,True,470.27803206443787,3,0.1955,0.7208,0.078,0.9,0.5,55.55555555555556
eval_by_0.05,window_1.0s,stride_0.55s,True,415.31603360176086,3,0.2003,0.6524,0.063,1.0,0.55,55.00000000000001
eval_by_0.05,window_1.1s,stride_0.9s,True,243.4874370098114,2,0.2073,0.5517,0.0519,1.1,0.9,81.81818181818181
eval_by_0.05,window_1.2s,stride_0.85s,True,260.87149024009705,2,0.2126,0.5147,0.0402,1.2,0.85,70.83333333333334
eval_percent,window_1.3s,stride_70.0%,True,242.14730834960935,2,0.2011,0.5089,0.0398,1.3,0.9099999999999999,70.0
eval_by_0.05,window_1.4s,stride_0.9s,True,280.4413626194,2,0.2057,0.5,0.038,1.4,0.9,64.28571428571429
eval_by_0.05,window_1.5s,stride_1.25s,True,215.38880062103271,1,0.211,0.4412,0.0334,1.5,1.25,83.33333333333334
eval_by_0.05,window_1.6s,stride_1.5s,True,195.9270215034485,3,0.2102,0.3983,0.0303,1.6,1.5,93.75
eval_percent,window_1.7s,stride_90.0%,True,187.22241520881653,4,0.202,0.3812,0.0239,1.7,1.53,90.0
eval_percent,window_1.8s,stride_30.0%,True,497.9591414928436,4,0.1983,0.5205,0.0267,1.8,0.54,30.0
eval_by_0.05,window_1.9s,stride_1.85s,True,162.9415214061737,3,0.2003,0.3348,0.0215,1.9,1.85,97.36842105263159
eval_by_0.05,window_2.0s,stride_2.0s_sample,True,31.799073934555054,3,0.3333,0.0261,0.0011,2.0,2.0,100.0
