eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou,window_numeric,stride_numeric,stride_percentage
eval_by_0.05,window_2.0s,stride_2.0s_sample,True,31.799073934555054,3,0.3333,0.0261,0.0011,2.0,2.0,100.0
eval_by_0.05,window_1.2s,stride_0.85s,True,260.87149024009705,2,0.2126,0.5147,0.0402,1.2,0.85,70.83333333333334
eval_by_0.05,window_1.5s,stride_1.25s,True,215.38880062103271,1,0.211,0.4412,0.0334,1.5,1.25,83.33333333333334
eval_by_0.05,window_1.6s,stride_1.5s,True,195.9270215034485,3,0.2102,0.3983,0.0303,1.6,1.5,93.75
eval_by_0.05,window_1.6s,stride_0.9s,True,307.692241191864,3,0.2097,0.5,0.0315,1.6,0.9,56.25
eval_by_0.05,window_1.6s,stride_1.2s,True,231.52826738357544,1,0.2093,0.4476,0.0283,1.6,1.2,74.99999999999999
eval_by_0.05,window_1.5s,stride_0.75s,True,347.89373087883,4,0.2089,0.5176,0.0362,1.5,0.75,50.0
eval_percent,window_1.5s,stride_50.0%,True,351.153256893158,4,0.2089,0.5176,0.0362,1.5,0.75,50.0
eval_by_0.05,window_1.2s,stride_1.05s,True,217.47578763961792,2,0.2078,0.5089,0.0464,1.2,1.05,87.50000000000001
eval_by_0.05,window_1.5s,stride_1.5s,True,187.26730608940125,3,0.2074,0.3812,0.0317,1.5,1.5,100.0
