window_numeric,stride_percentage,window_f1,word_f1,combined_iou,eval_type,window,stride
0.3,83.33333333333334,0.0744,0.9169,0.2486,eval_by_0.05,window_0.3s,stride_0.25s
0.4,87.49999999999999,0.1027,0.87,0.1941,eval_by_0.05,window_0.4s,stride_0.35s
0.5,60.0,0.1288,0.88,0.1553,eval_by_0.05,window_0.5s,stride_0.3s
0.6,66.66666666666667,0.1564,0.8458,0.137,eval_by_0.05,window_0.6s,stride_0.4s
0.7,90.0,0.1732,0.7121,0.107,eval_percent,window_0.7s,stride_90.0%
0.8,62.5,0.1838,0.7379,0.096,eval_by_0.05,window_0.8s,stride_0.5s
0.9,55.55555555555556,0.1955,0.7208,0.078,eval_by_0.05,window_0.9s,stride_0.5s
1.0,55.00000000000001,0.2003,0.6524,0.063,eval_by_0.05,window_1.0s,stride_0.55s
1.1,81.81818181818181,0.2073,0.5517,0.0519,eval_by_0.05,window_1.1s,stride_0.9s
1.2,70.83333333333334,0.2126,0.5147,0.0402,eval_by_0.05,window_1.2s,stride_0.85s
1.3,70.0,0.2011,0.5089,0.0398,eval_percent,window_1.3s,stride_70.0%
1.4,64.28571428571429,0.2057,0.5,0.038,eval_by_0.05,window_1.4s,stride_0.9s
1.5,83.33333333333334,0.211,0.4412,0.0334,eval_by_0.05,window_1.5s,stride_1.25s
1.6,93.75,0.2102,0.3983,0.0303,eval_by_0.05,window_1.6s,stride_1.5s
1.7,90.0,0.202,0.3812,0.0239,eval_percent,window_1.7s,stride_90.0%
1.8,30.0,0.1983,0.5205,0.0267,eval_percent,window_1.8s,stride_30.0%
1.9,97.36842105263159,0.2003,0.3348,0.0215,eval_by_0.05,window_1.9s,stride_1.85s
2.0,100.0,0.3333,0.0261,0.0011,eval_by_0.05,window_2.0s,stride_2.0s_sample
