eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou,window_numeric,stride_numeric,stride_percentage
eval_by_0.05,window_0.3s,stride_0.25s,True,846.32639336586,3,0.0744,0.9169,0.2486,0.3,0.25,83.33333333333334
eval_by_0.05,window_0.3s,stride_0.2s,True,999.5266270637512,4,0.0715,0.9322,0.234,0.3,0.2,66.66666666666667
eval_by_0.05,window_0.3s,stride_0.15s,True,1221.400998353958,2,0.0736,0.9686,0.2286,0.3,0.15,50.0
eval_by_0.05,window_0.3s,stride_0.125s,True,1383.845859527588,1,0.0739,0.9742,0.2094,0.3,0.125,41.66666666666667
eval_by_0.05,window_0.3s,stride_0.3s,True,586.7457737922668,1,0.073,0.8964,0.2312,0.3,0.3,100.0
eval_by_0.05,window_0.4s,stride_0.25s,True,714.5513870716095,2,0.0978,0.9043,0.1925,0.4,0.25,62.5
eval_by_0.05,window_0.4s,stride_0.35s,True,598.6871376037598,4,0.1027,0.87,0.1941,0.4,0.35,87.49999999999999
eval_by_0.05,window_0.4s,stride_0.3s,True,680.6564109325409,1,0.1003,0.8964,0.2006,0.4,0.3,74.99999999999999
eval_by_0.05,window_0.4s,stride_0.2s,True,901.9645690917968,3,0.1007,0.9456,0.1878,0.4,0.2,50.0
eval_by_0.05,window_0.4s,stride_0.4s,True,480.1399347782135,2,0.1003,0.8261,0.178,0.4,0.4,100.0
eval_by_0.05,window_0.5s,stride_0.45s,True,477.4270060062408,2,0.1243,0.8,0.1509,0.5,0.45,90.0
eval_by_0.05,window_0.5s,stride_0.35s,True,569.9430177211761,4,0.1259,0.8545,0.1561,0.5,0.35,70.0
eval_by_0.05,window_0.5s,stride_0.25s,True,709.5299060344696,3,0.1235,0.9012,0.1498,0.5,0.25,50.0
eval_by_0.05,window_0.5s,stride_0.3s,True,628.7499771118164,1,0.1288,0.88,0.1553,0.5,0.3,60.0
eval_by_0.05,window_0.5s,stride_0.5s,True,390.8867032527924,4,0.123,0.7707,0.145,0.5,0.5,100.0
eval_by_0.05,window_0.5s,stride_0.4s,True,463.3018972873688,3,0.1273,0.8369,0.1597,0.5,0.4,80.0
eval_by_0.05,window_0.6s,stride_0.35s,True,580.8231384754181,1,0.1437,0.8315,0.1295,0.6,0.35,58.333333333333336
eval_by_0.05,window_0.6s,stride_0.3s,True,657.9832706451416,2,0.146,0.8614,0.1294,0.6,0.3,50.0
eval_by_0.05,window_0.6s,stride_0.45s,True,429.674959897995,3,0.1437,0.7707,0.1259,0.6,0.45,75.0
eval_by_0.05,window_0.6s,stride_0.4s,True,485.2305192947388,4,0.1564,0.8458,0.137,0.6,0.4,66.66666666666667
eval_by_0.05,window_0.6s,stride_0.55s,True,360.2623932361603,1,0.154,0.74,0.1242,0.6,0.55,91.66666666666667
eval_by_0.05,window_0.6s,stride_0.5s,True,408.5174789428711,2,0.1487,0.7787,0.1251,0.6,0.5,83.33333333333334
eval_by_0.05,window_0.6s,stride_0.6s,True,361.64696192741394,3,0.1467,0.7077,0.1153,0.6,0.6,100.0
eval_by_0.05,window_0.7s,stride_0.45s,True,483.5126676559448,1,0.168,0.7826,0.113,0.7,0.45,64.28571428571429
eval_by_0.05,window_0.7s,stride_0.35s,True,597.5775094032288,4,0.1604,0.8132,0.1051,0.7,0.35,50.0
eval_by_0.05,window_0.7s,stride_0.55s,True,426.17968916893005,3,0.1605,0.7421,0.1046,0.7,0.55,78.57142857142858
eval_by_0.05,window_0.7s,stride_0.4s,True,552.6522600650787,2,0.1612,0.7904,0.1078,0.7,0.4,57.14285714285715
eval_by_0.05,window_0.7s,stride_0.5s,True,447.2312989234924,4,0.1698,0.7747,0.1101,0.7,0.5,71.42857142857143
eval_by_0.05,window_0.7s,stride_0.65s,True,358.4096524715424,1,0.1583,0.6806,0.0944,0.7,0.65,92.85714285714288
eval_by_0.05,window_0.7s,stride_0.6s,True,363.4971077442169,2,0.1579,0.6898,0.0972,0.7,0.6,85.71428571428572
eval_by_0.05,window_0.7s,stride_0.7s,True,317.40956711769104,3,0.1485,0.6279,0.0889,0.7,0.7,100.0
eval_by_0.05,window_0.8s,stride_0.45s,True,506.71881580352783,4,0.1685,0.74,0.0896,0.8,0.45,56.25
eval_by_0.05,window_0.8s,stride_0.55s,True,442.67279267311096,2,0.1793,0.7077,0.0898,0.8,0.55,68.75
eval_by_0.05,window_0.8s,stride_0.4s,True,546.3173089027405,1,0.1739,0.7627,0.088,0.8,0.4,50.0
eval_by_0.05,window_0.8s,stride_0.5s,True,457.9011781215668,3,0.1838,0.7379,0.096,0.8,0.5,62.5
eval_by_0.05,window_0.8s,stride_0.65s,True,349.68669533729553,4,0.1587,0.6403,0.0831,0.8,0.65,81.25
eval_by_0.05,window_0.8s,stride_0.75s,True,330.43821144104004,2,0.1645,0.6,0.0771,0.8,0.75,93.75
eval_by_0.05,window_0.8s,stride_0.6s,True,375.96381402015686,1,0.1694,0.6572,0.084,0.8,0.6,74.99999999999999
eval_by_0.05,window_0.8s,stride_0.7s,True,338.975958108902,3,0.1661,0.6329,0.0819,0.8,0.7,87.49999999999999
eval_by_0.05,window_0.8s,stride_0.8s,True,284.1544144153595,4,0.17,0.5922,0.0771,0.8,0.8,100.0
eval_by_0.05,window_0.9s,stride_0.55s,True,435.75872898101807,2,0.18,0.6548,0.0702,0.9,0.55,61.111111111111114
eval_by_0.05,window_0.9s,stride_0.5s,True,470.27803206443787,3,0.1955,0.7208,0.078,0.9,0.5,55.55555555555556
eval_by_0.05,window_0.9s,stride_0.45s,True,504.2801744937897,1,0.1834,0.7208,0.0741,0.9,0.45,50.0
eval_by_0.05,window_0.9s,stride_0.65s,True,331.7453269958496,4,0.1829,0.6179,0.0729,0.9,0.65,72.22222222222221
eval_by_0.05,window_0.9s,stride_0.6s,True,372.0474197864533,1,0.1837,0.6452,0.0713,0.9,0.6,66.66666666666666
eval_by_0.05,window_0.9s,stride_0.75s,True,329.90852999687195,2,0.1892,0.6204,0.0714,0.9,0.75,83.33333333333333
eval_by_0.05,window_0.9s,stride_0.7s,True,340.4212255477905,3,0.1789,0.6255,0.0747,0.9,0.7,77.77777777777777
eval_by_0.05,window_0.9s,stride_0.85s,True,279.7782073020935,4,0.1847,0.5709,0.0672,0.9,0.85,94.44444444444444
eval_by_0.05,window_0.9s,stride_0.9s,True,278.44044494628906,2,0.1891,0.5655,0.0662,0.9,0.9,100.0
eval_by_0.05,window_0.9s,stride_0.8s,True,303.589652299881,1,0.182,0.5843,0.0692,0.9,0.8,88.8888888888889
eval_by_0.05,window_1.0s,stride_0.55s,True,415.31603360176086,3,0.2003,0.6524,0.063,1.0,0.55,55.00000000000001
eval_by_0.05,window_1.0s,stride_0.5s,True,447.38251066207886,4,0.1879,0.669,0.0622,1.0,0.5,50.0
eval_by_0.05,window_1.0s,stride_0.65s,True,355.3741912841797,1,0.1876,0.6179,0.0636,1.0,0.65,65.0
eval_by_0.05,window_1.0s,stride_0.6s,True,379.14714455604553,2,0.1943,0.6596,0.0637,1.0,0.6,60.0
eval_by_0.05,window_1.0s,stride_0.75s,True,301.527379989624,3,0.1974,0.6,0.0644,1.0,0.75,75.0
eval_by_0.05,window_1.0s,stride_0.7s,True,319.8204023838043,4,0.1958,0.6179,0.0675,1.0,0.7,70.0
eval_by_0.05,window_1.0s,stride_0.85s,True,266.0785982608795,1,0.1924,0.5682,0.059,1.0,0.85,85.0
eval_by_0.05,window_1.0s,stride_0.8s,True,285.5083746910095,2,0.1819,0.5709,0.0564,1.0,0.8,80.0
eval_by_0.05,window_1.0s,stride_0.95s,True,247.57981753349304,3,0.1873,0.5292,0.0562,1.0,0.95,95.0
eval_by_0.05,window_1.0s,stride_0.9s,True,242.3145227432251,4,0.1951,0.5377,0.0564,1.0,0.9,90.0
eval_by_0.05,window_1.0s,stride_1.0s,True,203.15021467208865,1,0.2003,0.5377,0.0543,1.0,1.0,100.0
eval_by_0.05,window_1.1s,stride_0.65s,True,342.0366485118866,3,0.205,0.6204,0.0583,1.1,0.65,59.09090909090908
eval_by_0.05,window_1.1s,stride_0.55s,True,390.0592532157898,2,0.1979,0.6204,0.055,1.1,0.55,50.0
eval_by_0.05,window_1.1s,stride_0.6s,True,351.8689904212952,4,0.2021,0.6427,0.0581,1.1,0.6,54.54545454545454
eval_by_0.05,window_1.1s,stride_0.75s,True,290.9845335483551,1,0.1945,0.5736,0.056,1.1,0.75,68.18181818181817
eval_by_0.05,window_1.1s,stride_0.7s,True,296.0039367675781,2,0.1987,0.5709,0.0518,1.1,0.7,63.636363636363626
eval_by_0.05,window_1.1s,stride_0.85s,True,260.8142938613892,3,0.2059,0.5627,0.0558,1.1,0.85,77.27272727272727
eval_by_0.05,window_1.1s,stride_0.95s,True,242.75814843177795,1,0.1748,0.488,0.0468,1.1,0.95,86.36363636363636
eval_by_0.05,window_1.1s,stride_0.8s,True,268.6204798221588,4,0.1875,0.5263,0.0488,1.1,0.8,72.72727272727273
eval_by_0.05,window_1.1s,stride_1.05s,True,217.1390082836151,3,0.1966,0.5,0.0488,1.1,1.05,95.45454545454545
eval_by_0.05,window_1.1s,stride_0.9s,True,243.4874370098114,2,0.2073,0.5517,0.0519,1.1,0.9,81.81818181818181
eval_by_0.05,window_1.1s,stride_1.0s,True,227.085294008255,4,0.1949,0.5147,0.0513,1.1,1.0,90.9090909090909
eval_by_0.05,window_1.1s,stride_1.1s,True,210.3743851184845,1,0.2009,0.488,0.047,1.1,1.1,100.0
eval_by_0.05,window_1.2s,stride_0.65s,True,336.65115547180176,2,0.1956,0.5922,0.0493,1.2,0.65,54.16666666666667
eval_by_0.05,window_1.2s,stride_0.75s,True,315.39367032051086,4,0.1881,0.5349,0.0461,1.2,0.75,62.5
eval_by_0.05,window_1.2s,stride_0.7s,True,327.2645516395569,1,0.1904,0.5627,0.0481,1.2,0.7,58.333333333333336
eval_by_0.05,window_1.2s,stride_0.6s,True,356.33782601356506,3,0.1899,0.6,0.0475,1.2,0.6,50.0
eval_by_0.05,window_1.2s,stride_0.85s,True,260.87149024009705,2,0.2126,0.5147,0.0402,1.2,0.85,70.83333333333334
eval_by_0.05,window_1.2s,stride_0.95s,True,251.9445629119873,4,0.1843,0.497,0.0447,1.2,0.95,79.16666666666666
eval_by_0.05,window_1.2s,stride_0.8s,True,276.2852110862732,3,0.1869,0.5234,0.0429,1.2,0.8,66.66666666666667
eval_by_0.05,window_1.2s,stride_0.9s,True,253.3757333755493,1,0.1933,0.5089,0.0424,1.2,0.9,75.0
eval_by_0.05,window_1.2s,stride_1.05s,True,217.47578763961792,2,0.2078,0.5089,0.0464,1.2,1.05,87.50000000000001
eval_by_0.05,window_1.2s,stride_1.15s,True,214.03433394432068,4,0.1826,0.4476,0.0397,1.2,1.15,95.83333333333333
eval_by_0.05,window_1.2s,stride_1.0s,True,229.4425799846649,3,0.1911,0.491,0.0441,1.2,1.0,83.33333333333334
eval_by_0.05,window_1.2s,stride_1.1s,True,214.22824549674988,1,0.2006,0.4603,0.0421,1.2,1.1,91.66666666666667
eval_by_0.05,window_1.2s,stride_1.2s,True,230.58480143547055,2,0.1946,0.454,0.0382,1.2,1.2,100.0
eval_by_0.05,window_1.3s,stride_0.75s,True,281.0253267288208,4,0.1678,0.488,0.0386,1.3,0.75,57.692307692307686
eval_by_0.05,window_1.3s,stride_0.7s,True,297.4729495048523,1,0.1812,0.5292,0.0388,1.3,0.7,53.84615384615385
eval_by_0.05,window_1.3s,stride_0.65s,True,311.65025568008423,3,0.1885,0.5545,0.0428,1.3,0.65,50.0
eval_by_0.05,window_1.3s,stride_0.85s,True,236.7404568195343,2,0.2005,0.5118,0.0377,1.3,0.85,65.38461538461539
eval_by_0.05,window_1.3s,stride_0.95s,True,240.5884156227112,4,0.1874,0.488,0.0399,1.3,0.95,73.07692307692307
eval_by_0.05,window_1.3s,stride_0.8s,True,265.03426241874695,3,0.1883,0.5118,0.0397,1.3,0.8,61.53846153846154
eval_by_0.05,window_1.3s,stride_0.9s,True,247.72492027282715,1,0.1894,0.488,0.0364,1.3,0.9,69.23076923076923
eval_by_0.05,window_1.3s,stride_1.05s,True,194.7878804206848,2,0.191,0.4727,0.0381,1.3,1.05,80.76923076923077
eval_by_0.05,window_1.3s,stride_1.15s,True,201.35040855407715,4,0.1826,0.4283,0.0351,1.3,1.15,88.46153846153845
eval_by_0.05,window_1.3s,stride_1.1s,True,208.17530274391171,1,0.1919,0.4444,0.038,1.3,1.1,84.61538461538461
eval_by_0.05,window_1.3s,stride_1.0s,True,219.6942536830902,3,0.181,0.4603,0.0382,1.3,1.0,76.92307692307692
eval_by_0.05,window_1.3s,stride_1.25s,True,165.54812216758728,2,0.1839,0.4118,0.0342,1.3,1.25,96.15384615384615
eval_by_0.05,window_1.3s,stride_1.2s,True,200.61633276939392,3,0.1755,0.4217,0.0333,1.3,1.2,92.3076923076923
eval_by_0.05,window_1.3s,stride_1.3s,True,194.3814868927002,4,0.1829,0.3983,0.0318,1.3,1.3,100.0
eval_by_0.05,window_1.4s,stride_0.75s,True,320.6609470844269,1,0.1892,0.5205,0.0387,1.4,0.75,53.57142857142857
eval_by_0.05,window_1.4s,stride_0.7s,True,348.2796936035156,2,0.1876,0.5263,0.035,1.4,0.7,50.0
eval_by_0.05,window_1.4s,stride_0.85s,True,313.6296887397766,3,0.1982,0.503,0.0346,1.4,0.85,60.71428571428572
eval_by_0.05,window_1.4s,stride_0.8s,True,329.02792525291443,4,0.1947,0.497,0.0363,1.4,0.8,57.14285714285715
eval_by_0.05,window_1.4s,stride_0.95s,True,265.1404747962952,1,0.1809,0.4634,0.0354,1.4,0.95,67.85714285714286
eval_by_0.05,window_1.4s,stride_0.9s,True,280.4413626194,2,0.2057,0.5,0.038,1.4,0.9,64.28571428571429
eval_by_0.05,window_1.4s,stride_1.05s,True,250.9290907382965,3,0.1953,0.4634,0.0363,1.4,1.05,75.00000000000001
eval_by_0.05,window_1.4s,stride_1.0s,True,260.674599647522,4,0.1877,0.4665,0.0373,1.4,1.0,71.42857142857143
eval_by_0.05,window_1.4s,stride_1.15s,True,224.4908001422882,1,0.194,0.4283,0.0322,1.4,1.15,82.14285714285714
eval_by_0.05,window_1.4s,stride_1.1s,True,230.18724274635315,2,0.201,0.4634,0.0358,1.4,1.1,78.57142857142858
eval_by_0.05,window_1.4s,stride_1.25s,True,206.28723430633545,3,0.2029,0.4476,0.034,1.4,1.25,89.28571428571429
eval_by_0.05,window_1.4s,stride_1.2s,True,218.7717835903168,4,0.1909,0.425,0.0316,1.4,1.2,85.71428571428572
eval_by_0.05,window_1.4s,stride_1.35s,True,199.9618742465973,1,0.2046,0.4184,0.0341,1.4,1.35,96.42857142857144
eval_by_0.05,window_1.4s,stride_1.3s,True,193.7534024715424,2,0.1829,0.4118,0.0309,1.4,1.3,92.85714285714288
eval_by_0.05,window_1.4s,stride_1.4s,True,177.5220286846161,3,0.1922,0.3983,0.029,1.4,1.4,100.0
eval_by_0.05,window_1.5s,stride_0.85s,True,316.07954263687134,1,0.1917,0.4665,0.0302,1.5,0.85,56.666666666666664
eval_by_0.05,window_1.5s,stride_0.75s,True,347.89373087883,4,0.2089,0.5176,0.0362,1.5,0.75,50.0
eval_by_0.05,window_1.5s,stride_0.8s,True,319.8814301490784,2,0.1959,0.488,0.0342,1.5,0.8,53.333333333333336
eval_by_0.05,window_1.5s,stride_0.95s,True,278.0672330856323,3,0.1854,0.4476,0.0327,1.5,0.95,63.33333333333333
eval_by_0.05,window_1.5s,stride_1.05s,True,249.98534607887268,1,0.1834,0.425,0.0327,1.5,1.05,70.0
eval_by_0.05,window_1.5s,stride_0.9s,True,283.439355134964,4,0.2025,0.488,0.0336,1.5,0.9,60.0
eval_by_0.05,window_1.5s,stride_1.15s,True,231.59546947479248,3,0.202,0.4508,0.0307,1.5,1.15,76.66666666666666
eval_by_0.05,window_1.5s,stride_1.0s,True,256.6499185562134,2,0.2006,0.454,0.0342,1.5,1.0,66.66666666666666
eval_by_0.05,window_1.5s,stride_1.25s,True,215.38880062103271,1,0.211,0.4412,0.0334,1.5,1.25,83.33333333333334
eval_by_0.05,window_1.5s,stride_1.1s,True,236.32953906059265,4,0.2058,0.4603,0.0338,1.5,1.1,73.33333333333334
eval_by_0.05,window_1.5s,stride_1.2s,True,218.27828168869016,2,0.1927,0.4084,0.0278,1.5,1.2,80.0
eval_by_0.05,window_1.5s,stride_1.35s,True,200.32145977020264,3,0.1884,0.3846,0.0289,1.5,1.35,90.0
eval_by_0.05,window_1.5s,stride_1.45s,True,190.51983976364136,1,0.1751,0.3636,0.0245,1.5,1.45,96.66666666666667
eval_by_0.05,window_1.5s,stride_1.3s,True,201.1332700252533,4,0.1857,0.3983,0.0312,1.5,1.3,86.66666666666667
eval_by_0.05,window_1.5s,stride_1.5s,True,187.26730608940125,3,0.2074,0.3812,0.0317,1.5,1.5,100.0
eval_by_0.05,window_1.5s,stride_1.4s,True,191.5077042579651,2,0.1902,0.3707,0.0269,1.5,1.4,93.33333333333333
eval_by_0.05,window_1.6s,stride_0.85s,True,314.57975792884827,4,0.1958,0.491,0.0303,1.6,0.85,53.125
eval_by_0.05,window_1.6s,stride_0.95s,True,299.07344698905945,2,0.1757,0.438,0.0282,1.6,0.95,59.374999999999986
eval_by_0.05,window_1.6s,stride_0.8s,True,329.58967661857605,1,0.1999,0.491,0.0313,1.6,0.8,50.0
eval_by_0.05,window_1.6s,stride_0.9s,True,307.692241191864,3,0.2097,0.5,0.0315,1.6,0.9,56.25
eval_by_0.05,window_1.6s,stride_1.05s,True,257.9387352466583,4,0.1936,0.4444,0.0297,1.6,1.05,65.625
eval_by_0.05,window_1.6s,stride_1.15s,True,255.4704120159149,2,0.2036,0.4571,0.029,1.6,1.15,71.87499999999999
eval_by_0.05,window_1.6s,stride_1.1s,True,257.7751219272613,3,0.1964,0.4217,0.0298,1.6,1.1,68.75
