,,window_f1,window_f1,window_f1,word_f1,word_f1,word_f1,combined_iou,combined_iou,combined_iou,eval_type
,,mean,std,count,mean,std,count,mean,std,count,<lambda>
window_numeric,stride_percentage,,,,,,,,,,
0.3,10.0,0.0729,,1,0.996,,1,0.1328,,1,['eval_percent']
0.3,20.0,0.0717,,1,0.992,,1,0.1711,,1,['eval_percent']
0.3,30.0,0.0727,,1,0.9825,,1,0.1856,,1,['eval_percent']
0.3,40.0,0.0723,,1,0.9811,,1,0.2108,,1,['eval_percent']
0.3,41.66666666666667,0.0739,,1,0.9742,,1,0.2094,,1,['eval_by_0.05']
0.3,50.0,0.0736,0.0,2,0.9686,0.0,2,0.2286,0.0,2,"['eval_by_0.05', 'eval_percent']"
0.3,60.0,0.0712,,1,0.9544,,1,0.222,,1,['eval_percent']
0.3,66.66666666666667,0.0715,,1,0.9322,,1,0.234,,1,['eval_by_0.05']
0.3,70.0,0.073,,1,0.9382,,1,0.2534,,1,['eval_percent']
0.3,80.0,0.0738,,1,0.9322,,1,0.249,,1,['eval_percent']
0.3,83.33333333333334,0.0744,,1,0.9169,,1,0.2486,,1,['eval_by_0.05']
0.3,90.0,0.0743,,1,0.9059,,1,0.2423,,1,['eval_percent']
0.3,100.0,0.073,0.0,2,0.8964,0.0,2,0.2312,0.0,2,"['eval_by_0.05', 'eval_percent']"
0.4,10.0,0.0994,,1,0.9811,,1,0.1312,,1,['eval_percent']
0.4,20.0,0.1003,,1,0.977,,1,0.1454,,1,['eval_percent']
0.4,30.0,0.1013,,1,0.9658,,1,0.1607,,1,['eval_percent']
0.4,40.0,0.0998,,1,0.9558,,1,0.1688,,1,['eval_percent']
0.4,50.0,0.1007,0.0,2,0.9456,0.0,2,0.1878,0.0,2,"['eval_by_0.05', 'eval_percent']"
0.4,60.0,0.1015,,1,0.9246,,1,0.184,,1,['eval_percent']
0.4,62.5,0.0978,,1,0.9043,,1,0.1925,,1,['eval_by_0.05']
0.4,70.0,0.1011,,1,0.9075,,1,0.2049,,1,['eval_percent']
0.4,74.99999999999999,0.1003,,1,0.8964,,1,0.2006,,1,['eval_by_0.05']
0.4,80.0,0.0984,,1,0.875,,1,0.1852,,1,['eval_percent']
0.4,87.49999999999999,0.1027,,1,0.87,,1,0.1941,,1,['eval_by_0.05']
0.4,100.0,0.1003,0.0,2,0.8261,0.0,2,0.178,0.0,2,"['eval_by_0.05', 'eval_percent']"
0.5,10.0,0.1255,,1,0.9714,,1,0.1145,,1,['eval_percent']
0.5,20.0,0.1269,,1,0.9615,,1,0.1309,,1,['eval_percent']
0.5,30.0,0.1261,,1,0.9382,,1,0.1387,,1,['eval_percent']
0.5,40.0,0.1273,,1,0.9246,,1,0.1465,,1,['eval_percent']
0.5,50.0,0.1235,0.0,2,0.9012,0.0,2,0.1498,0.0,2,"['eval_by_0.05', 'eval_percent']"
