window_size,window_f1_mean,window_f1_max,word_f1_mean,word_f1_max,count
0.3,0.073,0.0744,0.949,0.996,15
0.4,0.1003,0.1027,0.9144,0.9811,14
0.5,0.1257,0.1288,0.8676,0.9714,16
0.6,0.1473,0.1564,0.8201,0.9572,17
0.7,0.1614,0.1732,0.7693,0.9307,18
0.8,0.1712,0.1838,0.711,0.898,19
0.9,0.1844,0.1955,0.6645,0.858,20
1.0,0.1923,0.2003,0.6312,0.8333,21
1.1,0.1944,0.2073,0.5845,0.8,22
1.2,0.1917,0.2126,0.5429,0.7727,23
1.3,0.189,0.2011,0.5106,0.7627,24
1.4,0.1937,0.2057,0.4906,0.7273,25
1.5,0.1957,0.211,0.4606,0.701,26
1.6,0.1946,0.2102,0.4467,0.676,27
1.7,0.1867,0.202,0.415,0.6279,28
1.8,0.1856,0.1983,0.4013,0.6378,29
1.9,0.1762,0.2003,0.3718,0.6052,30
2.0,0.1762,0.3333,0.3386,0.5545,32
