window_size,word_f1_mean,word_f1_max,word_f1_min,count
0.3,0.949,0.996,0.8964,15
0.4,0.9144,0.9811,0.8261,14
0.5,0.8676,0.9714,0.7707,16
0.6,0.8201,0.9572,0.7077,17
0.7,0.7693,0.9307,0.6279,18
0.8,0.711,0.898,0.5922,19
0.9,0.6645,0.858,0.5655,20
1.0,0.6312,0.8333,0.5292,21
1.1,0.5845,0.8,0.4444,22
1.2,0.5429,0.7727,0.4315,23
1.3,0.5106,0.7627,0.3983,24
1.4,0.4906,0.7273,0.3983,25
1.5,0.4606,0.701,0.3636,26
1.6,0.4467,0.676,0.3311,27
1.7,0.415,0.6279,0.3087,28
1.8,0.4013,0.6378,0.2935,29
1.9,0.3718,0.6052,0.2621,30
2.0,0.3386,0.5545,0.0261,32
