eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou
eval_by_0.05,window_0.3s,stride_0.25s,True,846.32639336586,3,0.0744,0.9169,0.2486
eval_by_0.05,window_0.3s,stride_0.2s,True,999.5266270637512,4,0.0715,0.9322,0.234
eval_by_0.05,window_0.3s,stride_0.15s,True,1221.4009983539581,2,0.0736,0.9686,0.2286
eval_by_0.05,window_0.3s,stride_0.125s,True,1383.845859527588,1,0.0739,0.9742,0.2094
eval_by_0.05,window_0.3s,stride_0.3s,True,586.7457737922668,1,0.073,0.8964,0.2312
eval_by_0.05,window_0.4s,stride_0.25s,True,714.5513870716095,2,0.0978,0.9043,0.1925
eval_by_0.05,window_0.4s,stride_0.35s,True,598.6871376037598,4,0.1027,0.87,0.1941
eval_by_0.05,window_0.4s,stride_0.3s,True,680.6564109325409,1,0.1003,0.8964,0.2006
eval_by_0.05,window_0.4s,stride_0.2s,True,901.9645690917969,3,0.1007,0.9456,0.1878
eval_by_0.05,window_0.4s,stride_0.4s,True,480.1399347782135,2,0.1003,0.8261,0.178
eval_by_0.05,window_0.5s,stride_0.45s,True,477.42700600624084,2,0.1243,0.8,0.1509
eval_by_0.05,window_0.5s,stride_0.35s,True,569.9430177211761,4,0.1259,0.8545,0.1561
eval_by_0.05,window_0.5s,stride_0.25s,True,709.5299060344696,3,0.1235,0.9012,0.1498
eval_by_0.05,window_0.5s,stride_0.3s,True,628.7499771118164,1,0.1288,0.88,0.1553
eval_by_0.05,window_0.5s,stride_0.5s,True,390.88670325279236,4,0.123,0.7707,0.145
eval_by_0.05,window_0.5s,stride_0.4s,True,463.3018972873688,3,0.1273,0.8369,0.1597
eval_by_0.05,window_0.6s,stride_0.35s,True,580.8231384754181,1,0.1437,0.8315,0.1295
eval_by_0.05,window_0.6s,stride_0.3s,True,657.9832706451416,2,0.146,0.8614,0.1294
eval_by_0.05,window_0.6s,stride_0.45s,True,429.674959897995,3,0.1437,0.7707,0.1259
eval_by_0.05,window_0.6s,stride_0.4s,True,485.23051929473877,4,0.1564,0.8458,0.137
eval_by_0.05,window_0.6s,stride_0.55s,True,360.2623932361603,1,0.154,0.74,0.1242
eval_by_0.05,window_0.6s,stride_0.5s,True,408.5174789428711,2,0.1487,0.7787,0.1251
eval_by_0.05,window_0.6s,stride_0.6s,True,361.64696192741394,3,0.1467,0.7077,0.1153
eval_by_0.05,window_0.7s,stride_0.45s,True,483.5126676559448,1,0.168,0.7826,0.113
eval_by_0.05,window_0.7s,stride_0.35s,True,597.5775094032288,4,0.1604,0.8132,0.1051
eval_by_0.05,window_0.7s,stride_0.55s,True,426.17968916893005,3,0.1605,0.7421,0.1046
eval_by_0.05,window_0.7s,stride_0.4s,True,552.6522600650787,2,0.1612,0.7904,0.1078
eval_by_0.05,window_0.7s,stride_0.5s,True,447.23129892349243,4,0.1698,0.7747,0.1101
eval_by_0.05,window_0.7s,stride_0.65s,True,358.40965247154236,1,0.1583,0.6806,0.0944
eval_by_0.05,window_0.7s,stride_0.6s,True,363.4971077442169,2,0.1579,0.6898,0.0972
eval_by_0.05,window_0.7s,stride_0.7s,True,317.40956711769104,3,0.1485,0.6279,0.0889
eval_by_0.05,window_0.8s,stride_0.45s,True,506.71881580352783,4,0.1685,0.74,0.0896
eval_by_0.05,window_0.8s,stride_0.55s,True,442.67279267311096,2,0.1793,0.7077,0.0898
eval_by_0.05,window_0.8s,stride_0.4s,True,546.3173089027405,1,0.1739,0.7627,0.088
eval_by_0.05,window_0.8s,stride_0.5s,True,457.9011781215668,3,0.1838,0.7379,0.096
eval_by_0.05,window_0.8s,stride_0.65s,True,349.68669533729553,4,0.1587,0.6403,0.0831
eval_by_0.05,window_0.8s,stride_0.75s,True,330.43821144104004,2,0.1645,0.6,0.0771
eval_by_0.05,window_0.8s,stride_0.6s,True,375.96381402015686,1,0.1694,0.6572,0.084
eval_by_0.05,window_0.8s,stride_0.7s,True,338.975958108902,3,0.1661,0.6329,0.0819
eval_by_0.05,window_0.8s,stride_0.8s,True,284.1544144153595,4,0.17,0.5922,0.0771
eval_by_0.05,window_0.9s,stride_0.55s,True,435.75872898101807,2,0.18,0.6548,0.0702
eval_by_0.05,window_0.9s,stride_0.5s,True,470.27803206443787,3,0.1955,0.7208,0.078
eval_by_0.05,window_0.9s,stride_0.45s,True,504.2801744937897,1,0.1834,0.7208,0.0741
eval_by_0.05,window_0.9s,stride_0.65s,True,331.7453269958496,4,0.1829,0.6179,0.0729
eval_by_0.05,window_0.9s,stride_0.6s,True,372.04741978645325,1,0.1837,0.6452,0.0713
eval_by_0.05,window_0.9s,stride_0.75s,True,329.90852999687195,2,0.1892,0.6204,0.0714
eval_by_0.05,window_0.9s,stride_0.7s,True,340.4212255477905,3,0.1789,0.6255,0.0747
eval_by_0.05,window_0.9s,stride_0.85s,True,279.7782073020935,4,0.1847,0.5709,0.0672
eval_by_0.05,window_0.9s,stride_0.9s,True,278.44044494628906,2,0.1891,0.5655,0.0662
eval_by_0.05,window_0.9s,stride_0.8s,True,303.589652299881,1,0.182,0.5843,0.0692
eval_by_0.05,window_1.0s,stride_0.55s,True,415.31603360176086,3,0.2003,0.6524,0.063
eval_by_0.05,window_1.0s,stride_0.5s,True,447.38251066207886,4,0.1879,0.669,0.0622
eval_by_0.05,window_1.0s,stride_0.65s,True,355.3741912841797,1,0.1876,0.6179,0.0636
eval_by_0.05,window_1.0s,stride_0.6s,True,379.14714455604553,2,0.1943,0.6596,0.0637
eval_by_0.05,window_1.0s,stride_0.75s,True,301.527379989624,3,0.1974,0.6,0.0644
eval_by_0.05,window_1.0s,stride_0.7s,True,319.8204023838043,4,0.1958,0.6179,0.0675
eval_by_0.05,window_1.0s,stride_0.85s,True,266.0785982608795,1,0.1924,0.5682,0.059
eval_by_0.05,window_1.0s,stride_0.8s,True,285.5083746910095,2,0.1819,0.5709,0.0564
eval_by_0.05,window_1.0s,stride_0.95s,True,247.57981753349304,3,0.1873,0.5292,0.0562
eval_by_0.05,window_1.0s,stride_0.9s,True,242.3145227432251,4,0.1951,0.5377,0.0564
eval_by_0.05,window_1.0s,stride_1.0s,True,203.15021467208862,1,0.2003,0.5377,0.0543
eval_by_0.05,window_1.1s,stride_0.65s,True,342.0366485118866,3,0.205,0.6204,0.0583
eval_by_0.05,window_1.1s,stride_0.55s,True,390.0592532157898,2,0.1979,0.6204,0.055
eval_by_0.05,window_1.1s,stride_0.6s,True,351.86899042129517,4,0.2021,0.6427,0.0581
eval_by_0.05,window_1.1s,stride_0.75s,True,290.9845335483551,1,0.1945,0.5736,0.056
eval_by_0.05,window_1.1s,stride_0.7s,True,296.0039367675781,2,0.1987,0.5709,0.0518
eval_by_0.05,window_1.1s,stride_0.85s,True,260.81429386138916,3,0.2059,0.5627,0.0558
eval_by_0.05,window_1.1s,stride_0.95s,True,242.75814843177795,1,0.1748,0.488,0.0468
eval_by_0.05,window_1.1s,stride_0.8s,True,268.6204798221588,4,0.1875,0.5263,0.0488
eval_by_0.05,window_1.1s,stride_1.05s,True,217.1390082836151,3,0.1966,0.5,0.0488
