eval_type,window_size,stride_value,stride_type,stride_label,success,error,duration,worker_id,combined_mean_iou,binary_f1,multiclass_f1
eval_percent,2.0,10.0,percentage,10.0%,True,,626.7883629798889,1,5.42,0.37,0.36
eval_percent,1.9,10.0,percentage,10.0%,True,,731.9783942699432,2,6.05,0.37,0.35
eval_percent,1.8,10.0,percentage,10.0%,True,,754.1762466430664,3,5.67,0.37,0.35
eval_percent,1.7,10.0,percentage,10.0%,True,,795.8527393341064,4,5.2,0.37,0.35
eval_percent,1.6,10.0,percentage,10.0%,True,,808.4610805511475,1,6.61,0.36,0.35
eval_percent,1.5,10.0,percentage,10.0%,True,,831.9839975833893,2,8.37,0.36,0.34
eval_percent,1.4,10.0,percentage,10.0%,True,,862.5834293365479,3,8.96,0.34,0.33
eval_percent,1.3,10.0,percentage,10.0%,True,,892.226793050766,4,8.84,0.36,0.34
eval_percent,1.2,10.0,percentage,10.0%,True,,1086.6339707374573,1,8.85,0.36,0.34
eval_percent,1.0,10.0,percentage,10.0%,True,,1018.8176016807556,3,9.37,0.36,0.34
eval_percent,1.1,10.0,percentage,10.0%,True,,1203.1169304847717,2,9.32,0.35,0.34
eval_percent,0.9,10.0,percentage,10.0%,True,,1154.4291372299194,4,10.97,0.37,0.35
eval_percent,0.8,20.0,percentage,20.0%,True,,750.5101828575134,2,12.72,0.36,0.34
eval_percent,0.7,20.0,percentage,20.0%,True,,845.3208680152893,4,13.11,0.36,0.35
eval_percent,0.8,10.0,percentage,10.0%,True,,1368.4000520706177,1,11.67,0.36,0.34
eval_percent,0.7,10.0,percentage,10.0%,True,,1462.322098493576,3,12.02,0.36,0.33
eval_percent,0.6,20.0,percentage,20.0%,True,,983.9652953147888,2,14.56,0.36,0.34
eval_percent,0.5,20.0,percentage,20.0%,True,,836.7208535671234,4,17.63,0.38,0.36
eval_percent,0.6,10.0,percentage,10.0%,True,,1905.3490662574768,1,14.97,0.37,0.34
eval_percent,0.5,10.0,percentage,10.0%,True,,1640.9623820781708,3,16.65,0.38,0.36
eval_percent,0.4,30.0,percentage,30.0%,True,,817.1689138412476,3,21.54,0.37,0.35
eval_percent,0.4,20.0,percentage,20.0%,True,,1248.3898363113403,2,21.02,0.37,0.35
eval_percent,0.3,30.0,percentage,30.0%,True,,796.949667930603,2,25.43,0.38,0.36
eval_percent,0.3,20.0,percentage,20.0%,True,,1166.3072867393494,1,26.02,0.38,0.36
eval_percent,0.4,10.0,percentage,10.0%,True,,2695.477390766144,1,20.15,0.38,0.35
eval_percent,0.3,40.0,percentage,40.0%,True,,541.6883268356323,3,26.41,0.38,0.36
eval_percent,0.3,10.0,percentage,10.0%,True,,2172.8282244205475,4,25.27,0.39,0.35
eval_by_0.05,0.3,0.125,absolute,0.125s,True,,456.5759780406952,4,27.62,0.38,0.36
