eval_type,window_size,stride_value,stride_type,stride_label,success,error,duration,worker_id,combined_mean_iou,binary_f1,multiclass_f1
eval_percent,2.0,100.0,percentage,100.0%,True,,86.89650297164917,2,6.76,0.4,0.4
eval_percent,2.0,30.0,percentage,30.0%,True,,242.62164092063904,4,5.87,0.39,0.38
eval_percent,2.0,40.0,percentage,40.0%,True,,185.8741536140442,1,6.08,0.39,0.38
eval_percent,2.0,20.0,percentage,20.0%,True,,348.4941420555115,3,7.02,0.38,0.37
eval_percent,2.0,50.0,percentage,50.0%,True,,144.6313934326172,2,5.31,0.38,0.38
eval_percent,2.0,60.0,percentage,60.0%,True,,124.16491413116455,3,7.41,0.38,0.38
eval_percent,2.0,70.0,percentage,70.0%,True,,104.98297643661499,4,6.31,0.39,0.38
eval_percent,2.0,80.0,percentage,80.0%,True,,94.85627126693726,1,7.48,0.39,0.39
eval_percent,2.0,90.0,percentage,90.0%,True,,88.21962356567383,2,6.77,0.39,0.38
eval_by_0.05,2.0,1.05,absolute,1.05s,True,,134.82703685760498,3,8.02,0.38,0.37
eval_percent,2.0,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,1,,,
eval_by_0.05,2.0,1.15,absolute,1.15s,True,,128.56278800964355,1,6.07,0.38,0.38
eval_by_0.05,2.0,1.0,absolute,1.0s,True,,140.8191773891449,4,5.31,0.38,0.38
eval_by_0.05,2.0,1.1,absolute,1.1s,True,,125.53793287277222,2,6.1,0.39,0.38
eval_by_0.05,2.0,1.25,absolute,1.25s,True,,116.03865361213684,3,6.45,0.39,0.39
eval_by_0.05,2.0,1.35,absolute,1.35s,True,,106.92615866661072,1,6.25,0.39,0.38
eval_by_0.05,2.0,1.2,absolute,1.2s,True,,116.49842810630798,4,7.41,0.38,0.38
eval_by_0.05,2.0,1.45,absolute,1.45s,True,,100.00584816932678,3,6.57,0.4,0.4
eval_by_0.05,2.0,1.3,absolute,1.3s,True,,106.72788691520691,2,4.21,0.38,0.38
eval_by_0.05,2.0,1.55,absolute,1.55s,True,,97.99026560783386,1,6.49,0.4,0.39
eval_by_0.05,2.0,1.4,absolute,1.4s,True,,102.28249001502991,4,6.31,0.39,0.38
eval_by_0.05,2.0,1.5,absolute,1.5s,True,,92.74781966209412,2,9.43,0.39,0.39
eval_by_0.05,2.0,1.65,absolute,1.65s,True,,91.30829977989197,3,7.87,0.4,0.39
eval_by_0.05,2.0,1.75,absolute,1.75s,True,,88.27314758300781,1,9.83,0.39,0.38
eval_by_0.05,2.0,1.6,absolute,1.6s,True,,92.96573686599731,4,7.48,0.39,0.39
eval_by_0.05,2.0,1.7,absolute,1.7s,True,,83.29108929634094,2,6.87,0.39,0.38
eval_by_0.05,2.0,1.85,absolute,1.85s,True,,81.04938840866089,3,8.71,0.4,0.39
eval_by_0.05,2.0,1.95,absolute,1.95s,True,,80.0478765964508,1,5.48,0.39,0.38
eval_by_0.05,2.0,1.8,absolute,1.8s,True,,82.76945781707764,4,6.77,0.39,0.38
eval_by_0.05,2.0,2.0,absolute,2.0s,True,,71.71878862380981,3,6.76,0.4,0.4
eval_by_0.05,2.0,1.9,absolute,1.9s,True,,73.23779726028442,2,5.25,0.4,0.4
eval_percent,1.9,100.0,percentage,100.0%,True,,75.66385793685913,1,5.38,0.4,0.39
eval_percent,1.9,40.0,percentage,40.0%,True,,179.2895007133484,4,10.38,0.38,0.37
eval_percent,1.9,30.0,percentage,30.0%,True,,219.04037928581238,3,6.5,0.37,0.37
eval_percent,1.9,20.0,percentage,20.0%,True,,322.9512014389038,2,5.04,0.38,0.37
