eval_type,window_size,stride_value,stride_type,stride_label,overall_mean_iou,binary_f1,multiclass_f1,best_iou_threshold_f1
eval_by_0.05,0.3,0.125,absolute,0.125s,0.2481,0.392,0.324,0.438
eval_by_0.05,0.3,0.15,absolute,0.15s,0.2414,0.4,0.341,0.447
eval_by_0.05,0.3,0.25,absolute,0.25s,0.2299,0.38,0.316,0.466
eval_by_0.05,0.3,0.2,absolute,0.2s,0.2343,0.393,0.325,0.44
eval_by_0.05,0.3,0.3,absolute,0.3s,0.2164,0.384,0.32,0.445
eval_by_0.05,0.4,0.25,absolute,0.25s,0.2113,0.386,0.332,0.394
eval_by_0.05,0.4,0.2,absolute,0.2s,0.2187,0.401,0.345,0.385
eval_by_0.05,0.4,0.35,absolute,0.35s,0.1946,0.391,0.33,0.379
eval_by_0.05,0.4,0.3,absolute,0.3s,0.2055,0.385,0.326,0.4
eval_by_0.05,0.4,0.4,absolute,0.4s,0.1784,0.391,0.343,0.388
eval_by_0.05,0.5,0.25,absolute,0.25s,0.1905,0.389,0.339,0.272
eval_by_0.05,0.5,0.35,absolute,0.35s,0.1733,0.393,0.339,0.298
eval_by_0.05,0.5,0.3,absolute,0.3s,0.1822,0.388,0.329,0.295
eval_by_0.05,0.5,0.45,absolute,0.45s,0.1651,0.366,0.313,0.336
eval_by_0.05,0.5,0.4,absolute,0.4s,0.1721,0.386,0.333,0.329
eval_by_0.05,0.5,0.5,absolute,0.5s,0.1601,0.361,0.317,0.307
eval_by_0.05,0.6,0.35,absolute,0.35s,0.1631,0.383,0.33,0.244
eval_by_0.05,0.6,0.3,absolute,0.3s,0.1682,0.39,0.339,0.218
eval_by_0.05,0.6,0.45,absolute,0.45s,0.151,0.371,0.323,0.264
eval_by_0.05,0.6,0.4,absolute,0.4s,0.1688,0.39,0.336,0.281
eval_by_0.05,0.6,0.55,absolute,0.55s,0.1478,0.378,0.334,0.268
eval_by_0.05,0.6,0.5,absolute,0.5s,0.1508,0.386,0.34,0.258
eval_by_0.05,0.6,0.6,absolute,0.6s,0.1346,0.361,0.316,0.261
eval_by_0.05,0.7,0.35,absolute,0.35s,0.1518,0.375,0.327,0.187
eval_by_0.05,0.7,0.45,absolute,0.45s,0.1468,0.386,0.339,0.209
eval_by_0.05,0.7,0.4,absolute,0.4s,0.1524,0.371,0.328,0.196
eval_by_0.05,0.7,0.55,absolute,0.55s,0.1374,0.378,0.327,0.198
eval_by_0.05,0.7,0.5,absolute,0.5s,0.1405,0.386,0.339,0.171
eval_by_0.05,0.7,0.65,absolute,0.65s,0.1263,0.352,0.315,0.186
eval_by_0.05,0.7,0.6,absolute,0.6s,0.1326,0.35,0.309,0.198
eval_by_0.05,0.7,0.7,absolute,0.7s,0.1191,0.336,0.3,0.19
eval_by_0.05,0.8,0.45,absolute,0.45s,0.1303,0.38,0.326,0.164
eval_by_0.05,0.8,0.4,absolute,0.4s,0.1391,0.367,0.316,0.153
eval_by_0.05,0.8,0.55,absolute,0.55s,0.1247,0.37,0.318,0.152
eval_by_0.05,0.8,0.5,absolute,0.5s,0.1332,0.371,0.333,0.152
eval_by_0.05,0.8,0.65,absolute,0.65s,0.1197,0.347,0.308,0.189
eval_by_0.05,0.8,0.6,absolute,0.6s,0.1195,0.356,0.31,0.167
eval_by_0.05,0.8,0.75,absolute,0.75s,0.113,0.345,0.31,0.167
eval_by_0.05,0.8,0.7,absolute,0.7s,0.1153,0.349,0.302,0.181
eval_by_0.05,0.8,0.8,absolute,0.8s,0.1073,0.354,0.311,0.155
eval_by_0.05,0.9,0.45,absolute,0.45s,0.1207,0.385,0.332,0.11
