Method,Metric,IoU_Threshold,Mean_F1,Max_F1,Std_F1,Count_Configs,CV
word_iou_eval,binary_f1,0.1,0.316,0.92,0.2032,226,0.6429
word_iou_eval,binary_f1,0.2,0.1356,0.74,0.1622,226,1.1965
word_iou_eval,binary_f1,0.3,0.0603,0.5545,0.1032,226,1.7107
word_iou_eval,binary_f1,0.4,0.0317,0.3846,0.0623,226,1.9659
word_iou_eval,binary_f1,0.5,0.018,0.2419,0.0348,226,1.9334
word_iou_eval,binary_f1,0.6,0.0107,0.1241,0.0187,226,1.7529
word_iou_eval,binary_f1,0.7,0.0061,0.0763,0.0095,226,1.5517
word_iou_eval,binary_f1,0.8,0.0032,0.0312,0.0045,226,1.3901
word_iou_eval,binary_f1,0.9,0.0013,0.0157,0.0024,226,1.8653
word_iou_eval,multiclass_f1,0.1,0.2682,0.7729,0.1736,226,0.6473
word_iou_eval,multiclass_f1,0.2,0.1201,0.6305,0.1369,226,1.1406
word_iou_eval,multiclass_f1,0.3,0.053,0.4638,0.0852,226,1.6071
word_iou_eval,multiclass_f1,0.4,0.0268,0.3026,0.0489,226,1.8208
word_iou_eval,multiclass_f1,0.5,0.0149,0.1682,0.0257,226,1.7225
word_iou_eval,multiclass_f1,0.6,0.0089,0.0898,0.0132,226,1.4885
word_iou_eval,multiclass_f1,0.7,0.0054,0.0618,0.0071,226,1.3065
word_iou_eval,multiclass_f1,0.8,0.0029,0.0205,0.0035,226,1.2056
word_iou_eval,multiclass_f1,0.9,0.0012,0.0156,0.0024,226,1.937
word_iou_eval,f1,0.1,,,,226,
word_iou_eval,f1,0.2,,,,226,
word_iou_eval,f1,0.3,,,,226,
word_iou_eval,f1,0.4,,,,226,
word_iou_eval,f1,0.5,,,,226,
word_iou_eval,f1,0.6,,,,226,
word_iou_eval,f1,0.7,,,,226,
word_iou_eval,f1,0.8,,,,226,
word_iou_eval,f1,0.9,,,,226,
iou_eval,binary_f1,0.1,,,,226,
iou_eval,binary_f1,0.2,,,,226,
iou_eval,binary_f1,0.3,,,,226,
iou_eval,binary_f1,0.4,,,,226,
iou_eval,binary_f1,0.5,,,,226,
iou_eval,binary_f1,0.6,,,,226,
iou_eval,binary_f1,0.7,,,,226,
iou_eval,binary_f1,0.8,,,,226,
iou_eval,binary_f1,0.9,,,,226,
iou_eval,multiclass_f1,0.1,,,,226,
iou_eval,multiclass_f1,0.2,,,,226,
iou_eval,multiclass_f1,0.3,,,,226,
iou_eval,multiclass_f1,0.4,,,,226,
iou_eval,multiclass_f1,0.5,,,,226,
iou_eval,multiclass_f1,0.6,,,,226,
iou_eval,multiclass_f1,0.7,,,,226,
iou_eval,multiclass_f1,0.8,,,,226,
iou_eval,multiclass_f1,0.9,,,,226,
iou_eval,f1,0.1,0.2837,0.4705,0.0983,226,0.3464
iou_eval,f1,0.2,0.2268,0.425,0.1013,226,0.4468
iou_eval,f1,0.3,0.2085,0.4205,0.1088,226,0.5217
iou_eval,f1,0.4,0.2033,0.4205,0.113,226,0.5557
iou_eval,f1,0.5,0.2015,0.4205,0.115,226,0.5709
iou_eval,f1,0.6,0.2006,0.4205,0.1158,226,0.5775
iou_eval,f1,0.7,0.2,0.4205,0.1162,226,0.5811
iou_eval,f1,0.8,0.1995,0.4182,0.1163,226,0.5829
iou_eval,f1,0.9,0.1991,0.4182,0.1162,226,0.5834
