File Name,Start Time (s),End Time (s),Label,Words
./dataset/เย็ดแม่5.wav,0.294047,1.196538,profanity,เย็ดแม่
./dataset/ไอ้เย็ดแม่เอ๊ย โทรมาทำไม กูง่วง.wav,0.57261,1.267637,profanity,เย็ดแม่
./dataset/Horror movie for WOKE!!!!!.wav,0.0,20.287768,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,20.333268,20.429073,profanity,กู
./dataset/Horror movie for WOKE!!!!!.wav,20.434578,22.697983,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,22.702241,22.836066,profanity,มึง
./dataset/Horror movie for WOKE!!!!!.wav,22.84054,23.583575,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,23.588952,23.693256,profanity,กู
./dataset/Horror movie for WOKE!!!!!.wav,23.700046,26.3259,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,26.331326,26.430791,profanity,กู
./dataset/Horror movie for WOKE!!!!!.wav,26.468713,32.9956,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,33.027234,33.220364,profanity,เหี้ย
./dataset/Horror movie for WOKE!!!!!.wav,33.230555,35.70323,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,35.70812,35.91261,profanity,เหี้ย
./dataset/Horror movie for WOKE!!!!!.wav,35.933145,38.040541,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,38.063273,38.198761,profanity,กู
./dataset/Horror movie for WOKE!!!!!.wav,38.203635,38.447775,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,38.450487,38.541813,profanity,มึง
./dataset/Horror movie for WOKE!!!!!.wav,38.686131,73.703182,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,73.734201,73.79503,profanity,กู
./dataset/Horror movie for WOKE!!!!!.wav,73.799433,74.304309,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,74.312087,74.448205,profanity,มึง
./dataset/Horror movie for WOKE!!!!!.wav,74.469129,81.028653,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,81.04717,81.497471,profanity,เหี้ย
./dataset/Horror movie for WOKE!!!!!.wav,81.551083,98.188192,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,98.230894,98.383859,profanity,เหี้ย
./dataset/Horror movie for WOKE!!!!!.wav,98.388417,99.253701,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,99.256326,99.323238,profanity,กู
./dataset/Horror movie for WOKE!!!!!.wav,99.333479,111.74812,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,111.788626,111.995785,profanity,เหี้ย
./dataset/Horror movie for WOKE!!!!!.wav,112.019899,146.344623,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,146.407619,146.68431,profanity,เย็ดแม่
./dataset/Horror movie for WOKE!!!!!.wav,150.910365,151.06951,profanity,กู
./dataset/Horror movie for WOKE!!!!!.wav,151.553397,151.66738,profanity,มึง
./dataset/Horror movie for WOKE!!!!!.wav,151.673831,152.23299,non-profanity,
./dataset/Horror movie for WOKE!!!!!.wav,152.239442,153.254529,profanity,เย็ดแม่
./dataset/เย็ดแม่6.wav,0.26858,1.348519,profanity,เย็ดแม่
./dataset/เข้ามาสิ ไอ้เย็ดแม่.wav,1.538512,2.368785,profanity,เย็ดแม่
./dataset/เย็ดแม่มความคิดโครตเจ๋ง.wav,0.239615,1.26,profanity,เย็ดแม่
./dataset/มึงนี่มัน ไอ้เย็ดแม่.wav,1.695323,2.354455,profanity,เย็ดแม่
./dataset/เย็ดแม่7.wav,0.480182,2.032255,profanity,เย็ดแม่
./dataset/เย็ดแม่9.wav,0.331891,1.977069,profanity,เย็ดแม่
./dataset/เย็ดแม่3.wav,0.208087,1.427904,profanity,เย็ดแม่
./dataset/เย็ดแม่มึงคิดยังไงถึงทำอย่างนี้.wav,0.250569,0.801822,profanity,เย็ดแม่
./dataset/เย็ดแม่2.wav,0.345103,1.5706,profanity,เย็ดแม่
./dataset/พูดอะไรเนี่ย เย็ดแม่ ฟังไม่รู้เรื่อง.wav,1.25836,1.965216,profanity,เย็ดแม่
./dataset/เย็ดแม่4.wav,0.136188,1.214153,profanity,เย็ดแม่
./dataset/เย็ดแม่8.wav,0.419727,1.337327,profanity,เย็ดแม่
./dataset/เย็ดแม่.wav,0.381868,1.539499,profanity,เย็ดแม่
./dataset/โอ๊ย เย็ดแม่ เจ็บชิบหาย.wav,0.813658,1.531052,profanity,เย็ดแม่
