File Name,Start Time (s),End Time (s),Label
./dataset\Horror movie for WOKE!!!!!.wav,0.0,20.287768,none
./dataset\Horror movie for WOKE!!!!!.wav,20.333268,20.429073,กู
./dataset\Horror movie for WOKE!!!!!.wav,20.434578,22.697983,none
./dataset\Horror movie for WOKE!!!!!.wav,22.702241,22.836066,มึง
./dataset\Horror movie for WOKE!!!!!.wav,22.84054,23.583575,none
./dataset\Horror movie for WOKE!!!!!.wav,23.588952,23.693256,กู
./dataset\Horror movie for WOKE!!!!!.wav,23.700046,26.3259,none
./dataset\Horror movie for WOKE!!!!!.wav,26.331326,26.430791,กู
./dataset\Horror movie for WOKE!!!!!.wav,26.468713,32.9956,none
./dataset\Horror movie for WOKE!!!!!.wav,33.027234,33.220364,เหี้ย
./dataset\Horror movie for WOKE!!!!!.wav,33.230555,35.70323,none
./dataset\Horror movie for WOKE!!!!!.wav,35.70812,35.91261,เหี้ย
./dataset\Horror movie for WOKE!!!!!.wav,35.933145,38.040541,none
./dataset\Horror movie for WOKE!!!!!.wav,38.063273,38.198761,กู
./dataset\Horror movie for WOKE!!!!!.wav,38.203635,38.447775,none
./dataset\Horror movie for WOKE!!!!!.wav,38.450487,38.541813,มึง
./dataset\Horror movie for WOKE!!!!!.wav,38.686131,73.703182,none
./dataset\Horror movie for WOKE!!!!!.wav,73.734201,73.79503,กู
./dataset\Horror movie for WOKE!!!!!.wav,73.799433,74.304309,none
./dataset\Horror movie for WOKE!!!!!.wav,74.312087,74.448205,มึง
./dataset\Horror movie for WOKE!!!!!.wav,74.469129,81.028653,none
./dataset\Horror movie for WOKE!!!!!.wav,81.04717,81.497471,เหี้ย
./dataset\Horror movie for WOKE!!!!!.wav,81.551083,98.188192,none
./dataset\Horror movie for WOKE!!!!!.wav,98.230894,98.383859,เหี้ย
./dataset\Horror movie for WOKE!!!!!.wav,98.388417,99.253701,none
./dataset\Horror movie for WOKE!!!!!.wav,99.256326,99.323238,กู
./dataset\Horror movie for WOKE!!!!!.wav,99.333479,111.74812,none
./dataset\Horror movie for WOKE!!!!!.wav,111.788626,111.995785,เหี้ย
./dataset\Horror movie for WOKE!!!!!.wav,112.019899,146.344623,none
./dataset\Horror movie for WOKE!!!!!.wav,146.407619,146.68431,เย็ดแม่
./dataset\Horror movie for WOKE!!!!!.wav,150.910365,151.06951,กู
./dataset\Horror movie for WOKE!!!!!.wav,151.553397,151.66738,มึง
./dataset\Horror movie for WOKE!!!!!.wav,151.673831,152.23299,none
./dataset\Horror movie for WOKE!!!!!.wav,152.239442,153.254529,เย็ดแม่
./dataset\กู(หลายคำ).wav,0.0,0.5405,none
./dataset\กู(หลายคำ).wav,0.5405,1.508135,กู
./dataset\กู(หลายคำ).wav,1.508135,2.35517,none
./dataset\กู(หลายคำ).wav,2.35517,3.425326,กู
./dataset\กู(หลายคำ).wav,3.425326,4.354999,none
./dataset\กู(หลายคำ).wav,4.354999,5.425155,กู
./dataset\กู(หลายคำ).wav,5.425155,6.38375,none
./dataset\กู(หลายคำ).wav,6.38375,7.486961,กู
./dataset\กู(หลายคำ).wav,7.486961,8.288546,none
./dataset\กู(หลายคำ).wav,8.288546,8.916591,กู
./dataset\กู(หลายคำ).wav,8.916591,9.800813,none
./dataset\กู(หลายคำ).wav,9.800813,10.540419,กู
./dataset\กู(หลายคำ).wav,10.540419,11.275893,none
./dataset\กู(หลายคำ).wav,11.275893,12.06095,กู
./dataset\กู(หลายคำ).wav,12.061033,12.52,none
./dataset\กู1.wav,0.0,0.524632,none
./dataset\กู1.wav,0.524632,1.209643,กู
./dataset\กู1.wav,1.209643,1.784563,none
./dataset\กู10.wav,0.0,0.648778,none
./dataset\กู10.wav,0.648778,1.409628,กู
./dataset\กู10.wav,1.409628,1.637509,none
./dataset\กู2.wav,0.0,0.396872,none
./dataset\กู2.wav,0.396872,0.91063,กู
./dataset\กู2.wav,0.91063,1.317016,none
./dataset\กู3.wav,0.0,0.418618,none
./dataset\กู3.wav,0.418618,1.143045,กู
./dataset\กู3.wav,1.143045,1.446135,none
./dataset\กู4.wav,0.0,0.54328,none
./dataset\กู4.wav,0.54328,1.341686,กู
./dataset\กู4.wav,1.341686,1.497722,none
./dataset\กู5.wav,0.0,0.309795,none
./dataset\กู5.wav,0.309795,0.756264,กู
./dataset\กู5.wav,0.756264,0.996583,none
./dataset\กู6.wav,0.0,0.295368,none
./dataset\กู6.wav,0.295368,0.458618,กู
./dataset\กู6.wav,0.459377,0.726651,none
./dataset\กู7.wav,0.0,0.147335,none
./dataset\กู7.wav,0.147335,0.499301,กู
./dataset\กู7.wav,0.499301,0.77,none
./dataset\กู8.wav,0.0,0.295216,none
./dataset\กู8.wav,0.295216,0.764692,กู
./dataset\กู8.wav,0.764692,0.896583,none
./dataset\กู9.wav,0.0,0.282673,none
./dataset\กู9.wav,0.282673,0.689871,กู
./dataset\กู9.wav,0.689871,0.896583,none
./dataset\กูว่านะ โปรเจคเราอะ แม่งสุดยอดวะ.wav,0.0,1.242198,none
./dataset\กูว่านะ โปรเจคเราอะ แม่งสุดยอดวะ.wav,1.242198,1.360502,กู
./dataset\กูว่านะ โปรเจคเราอะ แม่งสุดยอดวะ.wav,1.360502,6.28,none
./dataset\กูว่านะพรุ่งนี้ตื่นสายวะ.wav,0.0,1.279592,none
./dataset\กูว่านะพรุ่งนี้ตื่นสายวะ.wav,1.279636,1.942576,กู
./dataset\กูว่านะพรุ่งนี้ตื่นสายวะ.wav,1.942576,3.8,none
./dataset\กูเป็นคนคิดไอเดียโปรเจคนี่หว่า เออกูแม่งสุดยอดวะ.wav,0.0,2.249246,none
./dataset\กูเป็นคนคิดไอเดียโปรเจคนี่หว่า เออกูแม่งสุดยอดวะ.wav,2.249246,2.561429,กู
./dataset\กูเป็นคนคิดไอเดียโปรเจคนี่หว่า เออกูแม่งสุดยอดวะ.wav,2.561429,5.097268,none
./dataset\กูเป็นคนคิดไอเดียโปรเจคนี่หว่า เออกูแม่งสุดยอดวะ.wav,5.097268,5.329871,กู
./dataset\กูเป็นคนคิดไอเดียโปรเจคนี่หว่า เออกูแม่งสุดยอดวะ.wav,5.329785,6.518924,none
./dataset\ก็เอาสิ มาดูกันว่ากูน่ะจะอยู่รอดเป็นคนสุดท้ายหรือเปล่า.wav,0.0,2.20426,none
./dataset\ก็เอาสิ มาดูกันว่ากูน่ะจะอยู่รอดเป็นคนสุดท้ายหรือเปล่า.wav,2.20426,2.467927,กู
./dataset\ก็เอาสิ มาดูกันว่ากูน่ะจะอยู่รอดเป็นคนสุดท้ายหรือเปล่า.wav,2.467927,4.665156,none
./dataset\ก่อนจะถามกูเนี่ย เฝ้าถามตัวเองเถอะว่าดีพอยัง.wav,0.0,1.060501,none
./dataset\ก่อนจะถามกูเนี่ย เฝ้าถามตัวเองเถอะว่าดีพอยัง.wav,1.063933,1.235535,กู
./dataset\ก่อนจะถามกูเนี่ย เฝ้าถามตัวเองเถอะว่าดีพอยัง.wav,1.235535,4.55432,none
./dataset\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ.wav,0.0,1.493846,none
./dataset\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ.wav,1.493846,1.766154,มึง
./dataset\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ.wav,1.766154,2.278462,none
./dataset\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ.wav,2.278462,2.478462,กู
./dataset\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ.wav,2.478462,3.92,none
./dataset\ช่วยกูด้วย.wav,0.0,0.959646,none
./dataset\ช่วยกูด้วย.wav,0.959646,1.179825,กู
./dataset\ช่วยกูด้วย.wav,1.179825,2.480125,none
./dataset\ด้วยสัตย์สาบานแห่งพระแม่กิ้งก่า กูขอสาบานว่า.wav,0.0,3.635968,none
./dataset\ด้วยสัตย์สาบานแห่งพระแม่กิ้งก่า กูขอสาบานว่า.wav,3.635968,4.038474,กู
./dataset\ด้วยสัตย์สาบานแห่งพระแม่กิ้งก่า กูขอสาบานว่า.wav,4.042946,5.872111,none
./dataset\ถามจริง กูจะรั่ว.wav,0.0,1.741352,none
./dataset\ถามจริง กูจะรั่ว.wav,1.741352,1.95675,กู
./dataset\ถามจริง กูจะรั่ว.wav,1.956725,3.07858,none
./dataset\ถามอะไรแปลกๆกูก็ต้องกินมาม่าอยู่แล้วสิ.wav,0.0,1.138659,none
./dataset\ถามอะไรแปลกๆกูก็ต้องกินมาม่าอยู่แล้วสิ.wav,1.13823,1.293457,กู
