eval_type,method,window_size,stride_value,stride_type,output_dir,success,error
eval_by_0.05,word_eval,0.3,0.25,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.3s\stride_0.25s,True,
eval_by_0.05,word_eval,0.3,0.2,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.3s\stride_0.2s,True,
eval_by_0.05,word_eval,0.3,0.15,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.3s\stride_0.15s,True,
eval_by_0.05,word_eval,0.3,0.125,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.3s\stride_0.125s,True,
eval_by_0.05,word_eval,0.3,0.3,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.3s\stride_0.3s,True,
eval_by_0.05,word_eval,0.4,0.25,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.4s\stride_0.25s,True,
eval_by_0.05,word_eval,0.4,0.35,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.4s\stride_0.35s,True,
eval_by_0.05,word_eval,0.4,0.2,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.4s\stride_0.2s,True,
eval_by_0.05,word_eval,0.5,0.25,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.5s\stride_0.25s,True,
eval_by_0.05,word_eval,0.5,0.35,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.5s\stride_0.35s,True,
eval_by_0.05,word_eval,0.4,0.3,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.4s\stride_0.3s,True,
eval_by_0.05,word_eval,0.4,0.4,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.4s\stride_0.4s,True,
eval_by_0.05,word_eval,0.5,0.45,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.5s\stride_0.45s,True,
eval_by_0.05,word_eval,0.5,0.3,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.5s\stride_0.3s,True,
eval_by_0.05,word_eval,0.5,0.5,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.5s\stride_0.5s,True,
eval_by_0.05,word_eval,0.5,0.4,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.5s\stride_0.4s,True,
eval_by_0.05,word_eval,0.6,0.35,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.6s\stride_0.35s,True,
eval_by_0.05,word_eval,0.6,0.3,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.6s\stride_0.3s,True,
eval_by_0.05,word_eval,0.6,0.45,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.6s\stride_0.45s,True,
eval_by_0.05,word_eval,0.6,0.4,absolute,vad_comprehensive_results\eval_by_0.05\word\window_0.6s\stride_0.4s,True,
