eval_type,window_size,window_name,stride_info,stride_name,success,duration_seconds,worker_id,combined_iou,binary_f1,multiclass_f1
eval_by_0.05,0.3,window_0.3s,0.25s,stride_0.25s,True,55.84181046485901,3,0.3455,0.379,0.314
eval_by_0.05,0.3,window_0.3s,0.2s,stride_0.2s,True,60.93066215515137,4,0.3198,0.393,0.325
eval_by_0.05,0.3,window_0.3s,0.15s,stride_0.15s,True,70.57890844345093,2,0.3116,0.4,0.342
eval_by_0.05,0.3,window_0.3s,0.125s,stride_0.125s,True,74.41803979873657,1,0.3088,0.391,0.325
eval_by_0.05,0.3,window_0.3s,0.3s,stride_0.3s,True,48.85641527175903,1,0.3161,0.384,0.321
eval_by_0.05,0.4,window_0.4s,0.25s,stride_0.25s,True,44.897783517837524,2,0.3002,0.386,0.33
eval_by_0.05,0.4,window_0.4s,0.35s,stride_0.35s,True,38.82172083854675,4,0.3054,0.392,0.33
eval_by_0.05,0.4,window_0.4s,0.2s,stride_0.2s,True,51.0318820476532,3,0.2898,0.4,0.347
eval_by_0.05,0.4,window_0.4s,0.4s,stride_0.4s,True,38.24977207183838,2,0.3014,0.391,0.342
eval_by_0.05,0.4,window_0.4s,0.3s,stride_0.3s,True,43.482444524765015,1,0.3149,0.384,0.323
eval_by_0.05,0.5,window_0.5s,0.25s,stride_0.25s,True,42.1159291267395,3,0.2622,0.392,0.338
eval_by_0.05,0.5,window_0.5s,0.35s,stride_0.35s,True,35.41790986061096,4,0.2958,0.395,0.339
eval_by_0.05,0.5,window_0.5s,0.45s,stride_0.45s,True,30.113372802734375,2,0.2867,0.366,0.312
eval_by_0.05,0.5,window_0.5s,0.3s,stride_0.3s,True,36.2770209312439,1,0.2744,0.39,0.331
eval_by_0.05,0.5,window_0.5s,0.5s,stride_0.5s,True,28.391312837600708,4,0.2949,0.363,0.319
eval_by_0.05,0.5,window_0.5s,0.4s,stride_0.4s,True,32.516501903533936,3,0.2897,0.386,0.332
eval_by_0.05,0.6,window_0.6s,0.35s,stride_0.35s,True,30.93670344352722,1,0.2723,0.383,0.329
eval_by_0.05,0.6,window_0.6s,0.45s,stride_0.45s,True,28.34787893295288,3,0.299,0.373,0.326
eval_by_0.05,0.6,window_0.6s,0.3s,stride_0.3s,True,34.30210614204407,2,0.2599,0.39,0.333
eval_by_0.05,0.6,window_0.6s,0.4s,stride_0.4s,True,31.323489904403687,4,0.2697,0.39,0.336
eval_by_0.05,0.6,window_0.6s,0.55s,stride_0.55s,True,25.55180025100708,1,0.2869,0.38,0.334
eval_by_0.05,0.6,window_0.6s,0.6s,stride_0.6s,True,23.8888521194458,3,0.2886,0.361,0.315
eval_by_0.05,0.6,window_0.6s,0.5s,stride_0.5s,True,27.08637762069702,2,0.2736,0.386,0.339
eval_by_0.05,0.7,window_0.7s,0.35s,stride_0.35s,True,27.962923288345337,4,0.2467,0.375,0.326
eval_by_0.05,0.7,window_0.7s,0.45s,stride_0.45s,True,24.702547550201416,1,0.2525,0.386,0.336
eval_by_0.05,0.7,window_0.7s,0.55s,stride_0.55s,True,22.56675410270691,3,0.2396,0.378,0.327
eval_by_0.05,0.7,window_0.7s,0.4s,stride_0.4s,True,26.010396718978882,2,0.2533,0.373,0.327
eval_by_0.05,0.7,window_0.7s,0.5s,stride_0.5s,True,24.70100688934326,4,0.2639,0.386,0.338
eval_by_0.05,0.7,window_0.7s,0.65s,stride_0.65s,True,23.496885299682617,1,0.2537,0.352,0.314
eval_by_0.05,0.7,window_0.7s,0.7s,stride_0.7s,True,22.33422017097473,3,0.2665,0.336,0.3
eval_by_0.05,0.7,window_0.7s,0.6s,stride_0.6s,True,24.715840339660645,2,0.2941,0.35,0.309
eval_by_0.05,0.8,window_0.8s,0.45s,stride_0.45s,True,26.942246198654175,4,0.2383,0.38,0.322
eval_by_0.05,0.8,window_0.8s,0.4s,stride_0.4s,True,28.55460476875305,1,0.2275,0.367,0.316
eval_by_0.05,0.8,window_0.8s,0.55s,stride_0.55s,True,25.754212141036987,2,0.2233,0.37,0.318
eval_by_0.05,0.8,window_0.8s,0.5s,stride_0.5s,True,26.224600791931152,3,0.2345,0.371,0.33
eval_by_0.05,0.8,window_0.8s,0.65s,stride_0.65s,True,22.161951541900635,4,0.2476,0.347,0.308
eval_by_0.05,0.8,window_0.8s,0.75s,stride_0.75s,True,19.587596893310547,2,0.3504,0.347,0.309
eval_by_0.05,0.8,window_0.8s,0.6s,stride_0.6s,True,21.448557138442993,1,0.2358,0.356,0.31
eval_by_0.05,0.8,window_0.8s,0.7s,stride_0.7s,True,20.662892818450928,3,0.2472,0.349,0.302
eval_by_0.05,0.8,window_0.8s,0.8s,stride_0.8s,True,20.608598709106445,4,0.2788,0.354,0.311
eval_by_0.05,0.9,window_0.9s,0.55s,stride_0.55s,True,22.83506727218628,2,0.2233,0.365,0.315
eval_by_0.05,0.9,window_0.9s,0.45s,stride_0.45s,True,24.66158103942871,1,0.2236,0.385,0.331
eval_by_0.05,0.9,window_0.9s,0.5s,stride_0.5s,True,22.998807668685913,3,0.2074,0.374,0.324
eval_by_0.05,0.9,window_0.9s,0.65s,stride_0.65s,True,21.215585708618164,4,0.2583,0.356,0.313
eval_by_0.05,0.9,window_0.9s,0.75s,stride_0.75s,True,20.063608646392822,2,0.2715,0.378,0.331
eval_by_0.05,0.9,window_0.9s,0.6s,stride_0.6s,True,21.757184982299805,1,0.221,0.365,0.323
eval_by_0.05,0.9,window_0.9s,0.7s,stride_0.7s,True,20.49548077583313,3,0.2582,0.345,0.287
eval_by_0.05,0.9,window_0.9s,0.85s,stride_0.85s,True,18.39922857284546,4,0.2149,0.35,0.313
eval_by_0.05,0.9,window_0.9s,0.9s,stride_0.9s,True,16.962597608566284,2,0.2444,0.369,0.319
eval_by_0.05,0.9,window_0.9s,0.8s,stride_0.8s,True,18.26269292831421,1,0.2499,0.361,0.322
eval_by_0.05,1.0,window_1.0s,0.55s,stride_0.55s,True,18.9122257232666,3,0.2665,0.379,0.325
eval_by_0.05,1.0,window_1.0s,0.5s,stride_0.5s,True,19.580761909484863,4,0.222,0.369,0.318
eval_by_0.05,1.0,window_1.0s,0.65s,stride_0.65s,True,18.262027978897095,1,0.2723,0.351,0.295
eval_by_0.05,1.0,window_1.0s,0.6s,stride_0.6s,True,18.47478985786438,2,0.2024,0.371,0.312
eval_by_0.05,1.0,window_1.0s,0.75s,stride_0.75s,True,17.9146089553833,3,0.2548,0.374,0.32
eval_by_0.05,1.0,window_1.0s,0.7s,stride_0.7s,True,18.68837308883667,4,0.2775,0.361,0.304
eval_by_0.05,1.0,window_1.0s,0.85s,stride_0.85s,True,19.69903874397278,1,0.2276,0.341,0.287
eval_by_0.05,1.0,window_1.0s,0.8s,stride_0.8s,True,20.186620235443115,2,0.2392,0.344,0.296
eval_by_0.05,1.0,window_1.0s,0.95s,stride_0.95s,True,18.62295365333557,3,0.2496,0.359,0.311
