 23%|█████████████████████                                                                      | 2276/9850 [11:49:03<43:47:44, 20.82s/it]                                                                    
{'loss': 0.5083, 'grad_norm': 1.1283503770828247, 'learning_rate': 9.90253807106599e-05, 'epoch': 0.25}
{'loss': 0.505, 'grad_norm': 0.22001922130584717, 'learning_rate': 9.801015228426397e-05, 'epoch': 0.51}
{'loss': 0.5086, 'grad_norm': 0.17768095433712006, 'learning_rate': 9.699492385786803e-05, 'epoch': 0.76}
{'loss': 0.4885, 'grad_norm': 0.13194045424461365, 'learning_rate': 9.597969543147208e-05, 'epoch': 1.02}
{'loss': 0.4932, 'grad_norm': 0.023199576884508133, 'learning_rate': 9.496446700507615e-05, 'epoch': 1.27}
{'loss': 0.5031, 'grad_norm': 0.8706086874008179, 'learning_rate': 9.394923857868021e-05, 'epoch': 1.52}
{'loss': 0.5051, 'grad_norm': 0.5559026002883911, 'learning_rate': 9.293401015228426e-05, 'epoch': 1.78}
{'loss': 0.5012, 'grad_norm': 0.30802828073501587, 'learning_rate': 9.191878172588832e-05, 'epoch': 2.03}
{'loss': 0.491, 'grad_norm': 0.20249387621879578, 'learning_rate': 9.09035532994924e-05, 'epoch': 2.28}
{'loss': 0.5069, 'grad_norm': 0.07047740370035172, 'learning_rate': 8.988832487309645e-05, 'epoch': 2.54}
{'loss': 0.505, 'grad_norm': 0.41973745822906494, 'learning_rate': 8.887309644670051e-05, 'epoch': 2.79}
{'loss': 0.5088, 'grad_norm': 0.4467422664165497, 'learning_rate': 8.785786802030457e-05, 'epoch': 3.05}
{'loss': 0.5051, 'grad_norm': 0.7038695812225342, 'learning_rate': 8.684263959390863e-05, 'epoch': 3.3}
{'loss': 0.501, 'grad_norm': 0.19709904491901398, 'learning_rate': 8.582741116751269e-05, 'epoch': 3.55}
{'loss': 0.4908, 'grad_norm': 0.09982221573591232, 'learning_rate': 8.481218274111675e-05, 'epoch': 3.81}
{'loss': 0.4982, 'grad_norm': 0.16091249883174896, 'learning_rate': 8.379695431472082e-05, 'epoch': 4.06}
{'loss': 0.5094, 'grad_norm': 0.283853143453598, 'learning_rate': 8.278172588832488e-05, 'epoch': 4.31}
{'loss': 0.4957, 'grad_norm': 0.018993427976965904, 'learning_rate': 8.176649746192894e-05, 'epoch': 4.57}
{'loss': 0.4973, 'grad_norm': 0.1649913191795349, 'learning_rate': 8.0751269035533e-05, 'epoch': 4.82}
{'loss': 0.5045, 'grad_norm': 0.067750483751297, 'learning_rate': 7.973604060913706e-05, 'epoch': 5.08}
{'loss': 0.504, 'grad_norm': 0.4537944793701172, 'learning_rate': 7.872081218274112e-05, 'epoch': 5.33}
{'loss': 0.4923, 'grad_norm': 0.35130953788757324, 'learning_rate': 7.770558375634519e-05, 'epoch': 5.58}
