                                                                                         
{'loss': 0.5245, 'grad_norm': 1.5503422021865845, 'learning_rate': 9.200000000000001e-05, 'epoch': 0.13}
{'loss': 0.3776, 'grad_norm': 12.090570449829102, 'learning_rate': 0.000192, 'epoch': 0.25}
{'loss': 0.3224, 'grad_norm': 8.634796142578125, 'learning_rate': 0.00019998901580508416, 'epoch': 0.38}
{'loss': 0.3537, 'grad_norm': 0.2127772867679596, 'learning_rate': 0.00019995216251319497, 'epoch': 0.51}
{'loss': 0.505, 'grad_norm': 0.12865550816059113, 'learning_rate': 0.00019988936663180317, 'epoch': 0.63}
{'loss': 0.5182, 'grad_norm': 0.1835375875234604, 'learning_rate': 0.0001998006444595834, 'epoch': 0.76}
{'loss': 0.48, 'grad_norm': 0.14084193110466003, 'learning_rate': 0.00019968601902438043, 'epoch': 0.89}
{'loss': 0.5002, 'grad_norm': 0.1703919917345047, 'learning_rate': 0.0001995455200772326, 'epoch': 1.02}
{'loss': 0.4874, 'grad_norm': 0.6382617354393005, 'learning_rate': 0.00019937918408464975, 'epoch': 1.14}
{'loss': 0.4985, 'grad_norm': 0.1311461329460144, 'learning_rate': 0.00019918705421914816, 'epoch': 1.27}
{'loss': 0.5029, 'grad_norm': 0.21832500398159027, 'learning_rate': 0.00019896918034804554, 'epoch': 1.4}
{'loss': 0.5046, 'grad_norm': 1.0068068504333496, 'learning_rate': 0.00019872561902051748, 'epoch': 1.52}
{'loss': 0.5116, 'grad_norm': 0.5596475005149841, 'learning_rate': 0.00019845643345292054, 'epoch': 1.65}
{'loss': 0.4995, 'grad_norm': 0.5542017817497253, 'learning_rate': 0.00019816169351238424, 'epoch': 1.78}
{'loss': 0.508, 'grad_norm': 0.5440987944602966, 'learning_rate': 0.00019784147569867696, 'epoch': 1.9}
{'loss': 0.4938, 'grad_norm': 0.2983153462409973, 'learning_rate': 0.00019749586312435064, 'epoch': 2.03}
{'loss': 0.4988, 'grad_norm': 0.2701888680458069, 'learning_rate': 0.0001971249454931687, 'epoch': 2.16}
