eval_type,window_size,stride_name,word_binary_f1,word_multiclass_f1,word_gt_count,word_pred_count,vad_binary_f1,vad_multiclass_f1,vad_combined_iou,vad_duration,f1_difference,f1_percent_change
eval_by_0.05,0.3,stride_0.125s,0.9742,0.8168,378,8316,0.391,0.325,0.3088,74.41803979873657,-0.5831999999999999,-59.864504208581394
eval_by_0.05,0.3,stride_0.15s,0.9686,0.8104,378,8151,0.4,0.342,0.3116,70.57890844345093,-0.5686,-58.70328308899442
eval_by_0.05,0.3,stride_0.25s,0.9169,0.7479,378,6472,0.379,0.314,0.3455,55.84181046485901,-0.5379,-58.66506707383575
eval_by_0.05,0.3,stride_0.2s,0.9322,0.7571,378,7210,0.393,0.325,0.3198,60.93066215515137,-0.5392,-57.84166487878137
eval_by_0.05,0.3,stride_0.3s,0.8964,0.727,378,5604,0.384,0.321,0.3161,48.85641527175903,-0.5124,-57.1619812583668
eval_by_0.05,0.4,stride_0.25s,0.9043,0.7652,378,4911,0.386,0.33,0.3002,44.89778351783752,-0.5183,-57.315050315160896
eval_by_0.05,0.4,stride_0.2s,0.9456,0.8033,378,5342,0.4,0.347,0.2898,51.0318820476532,-0.5456,-57.69881556683587
eval_by_0.05,0.4,stride_0.35s,0.87,0.7115,378,3986,0.392,0.33,0.3054,38.82172083854675,-0.478,-54.94252873563218
eval_by_0.05,0.4,stride_0.3s,0.8964,0.7387,378,4461,0.384,0.323,0.3149,43.482444524765015,-0.5124,-57.1619812583668
eval_by_0.05,0.4,stride_0.4s,0.8261,0.7019,378,3625,0.391,0.342,0.3014,38.24977207183838,-0.43509999999999993,-52.66916838155187
eval_by_0.05,0.5,stride_0.25s,0.9012,0.7587,378,3743,0.392,0.338,0.2622,42.1159291267395,-0.5092,-56.50244118952508
eval_by_0.05,0.5,stride_0.35s,0.8545,0.7121,378,3183,0.395,0.339,0.2958,35.41790986061096,-0.4595,-53.77413692217671
eval_by_0.05,0.5,stride_0.3s,0.88,0.72,378,3415,0.39,0.331,0.2744,36.2770209312439,-0.49,-55.68181818181818
eval_by_0.05,0.5,stride_0.45s,0.8,0.6635,378,2721,0.366,0.312,0.2867,30.11337280273437,-0.43400000000000005,-54.25
eval_by_0.05,0.5,stride_0.4s,0.8369,0.7015,378,2983,0.386,0.332,0.2897,32.516501903533936,-0.45089999999999997,-53.877404707850395
